# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.2	15.6	0.223
2	8.4	15.5	0.121
3	8.8	14.9	0.047
4	8.7	14.8	0.034
5	8.8	14.8	0.103
6	8.8	14.8	0.258
7	8.7	14.7	0.696
8	10.7	14.7	0.745
9	10.7	14.6	0.749
10	10.1	14.5	0.785
11	10.2	14.5	0.749
12	9.6	14.5	0.726
13	9.3	14.4	0.672
14	9.3	14.4	0.590
15	9.3	14.4	0.538
16	9.6	14.4	0.502
17	10.2	14.3	0.522
18	11.0	14.3	0.648
19	11.7	14.3	0.723
20	11.9	14.2	0.894
21	12.1	14.2	0.918
22	12.4	14.2	0.856
23	12.7	14.2	0.515
24	13.2	14.2	0.323
25	11.5	14.2	0.223
26	11.2	14.1	0.121
27	11.3	14.1	0.047
28	11.3	14.1	0.034
29	11.1	14.1	0.103
30	10.9	14.1	0.258
31	11.2	14.0	0.696
32	13.4	14.0	0.745
33	13.1	14.0	0.749
34	12.8	13.9	0.785
35	12.4	13.9	0.749
36	11.9	13.9	0.726
37	11.6	13.9	0.672
38	11.5	13.9	0.590
39	11.1	13.9	0.538
40	11.4	13.8	0.502
41	11.9	13.8	0.522
42	12.4	13.8	0.648
43	12.5	13.8	0.723
44	12.5	13.7	0.894
45	12.7	13.7	0.918
46	12.7	13.6	0.856
47	12.7	13.6	0.515
48	12.8	13.6	0.323
49	10.7	13.6	0.223
50	10.6	13.5	0.121
51	10.7	13.5	0.047
52	11.0	13.5	0.034
53	11.1	13.5	0.103
54	10.9	13.5	0.258
55	11.3	13.4	0.696
56	13.2	13.4	0.745
57	13.1	13.4	0.749
58	13.2	13.4	0.785
59	12.8	13.4	0.749
60	12.7	13.4	0.726
61	12.2	13.3	0.672
62	11.9	13.3	0.590
63	11.6	13.3	0.538
64	11.6	13.2	0.502
65	11.7	13.2	0.522
66	12.2	13.2	0.648
67	12.6	13.2	0.723
68	12.9	13.2	0.894
69	13.3	13.1	0.918
70	13.6	13.1	0.856
71	13.9	13.1	0.515
72	14.1	13.1	0.323
73	12.2	13.1	0.223
74	12.2	13.0	0.121
75	12.0	13.0	0.047
76	12.1	13.0	0.034
77	12.1	13.0	0.103
78	12.0	13.0	0.258
79	11.7	13.0	0.696
80	13.4	13.0	0.745
81	13.0	13.0	0.749
82	12.3	12.9	0.785
83	11.2	12.9	0.749
84	10.3	12.9	0.726
85	9.5	12.9	0.672
86	9.2	12.9	0.590
87	9.3	12.9	0.538
88	9.2	12.9	0.502
89	9.4	12.8	0.522
90	9.5	12.8	0.648
91	9.5	12.8	0.723
92	9.2	12.8	0.894
93	9.5	12.8	0.918
94	9.7	12.8	0.856
95	9.8	12.8	0.515
96	9.8	12.8	0.323
97	7.7	12.8	0.223
98	7.8	12.8	0.121
99	8.2	12.8	0.047
100	8.5	12.8	0.034
101	8.8	12.8	0.103
102	8.9	12.8	0.258
103	9.3	12.8	0.696
104	11.5	12.7	0.745
105	11.8	12.7	0.749
106	11.7	12.7	0.785
107	11.9	12.7	0.749
108	12.0	12.7	0.726
109	12.1	12.7	0.672
110	12.4	12.7	0.590
111	13.0	12.7	0.538
112	12.9	12.7	0.502
113	13.5	12.7	0.522
114	14.1	12.7	0.648
115	14.2	12.7	0.723
116	13.9	12.7	0.894
117	14.3	12.6	0.918
118	14.8	12.6	0.856
119	15.5	12.6	0.515
120	15.6	12.6	0.323
121	13.8	12.6	0.223
122	13.9	12.6	0.121
123	13.5	12.6	0.047
124	13.5	12.6	0.034
125	12.8	12.6	0.103
126	12.4	12.6	0.258
127	12.2	12.6	0.696
128	14.1	12.6	0.745
129	13.9	12.5	0.749
130	13.4	12.5	0.785
131	12.6	12.5	0.749
132	12.0	12.5	0.726
133	11.0	12.5	0.672
134	10.3	12.4	0.590
135	10.0	12.4	0.538
136	9.5	12.4	0.502
137	9.5	12.4	0.522
138	9.8	12.4	0.648
139	9.4	12.4	0.723
140	9.4	12.4	0.894
141	9.5	12.4	0.918
142	9.4	12.4	0.856
143	9.5	12.4	0.515
144	9.4	12.4	0.323
145	7.2	12.3	0.223
146	7.4	12.3	0.121
147	7.5	12.3	0.047
148	7.6	12.3	0.034
149	8.0	12.3	0.103
150	7.8	12.2	0.258
151	7.8	12.2	0.696
152	10.1	12.2	0.745
153	9.9	12.2	0.749
154	9.3	12.2	0.785
155	9.0	12.2	0.749
156	8.6	12.2	0.726
157	8.2	12.2	0.672
158	7.5	12.2	0.590
159	7.3	12.2	0.538
160	7.2	12.2	0.502
161	7.9	12.2	0.522
162	8.3	12.2	0.648
163	9.0	12.2	0.723
164	9.1	12.2	0.894
165	9.6	12.2	0.918
166	9.7	12.2	0.856
167	10.3	12.1	0.515
168	10.5	12.1	0.323
169	8.6	12.1	0.223
170	8.5	12.1	0.121
171	8.6	12.1	0.047
172	8.2	12.1	0.034
173	8.1	12.1	0.103
174	7.7	12.1	0.258
175	7.7	12.1	0.696
176	9.6	12.1	0.745
177	9.6	12.1	0.749
178	9.4	12.1	0.785
179	8.9	12.1	0.749
180	8.4	12.0	0.726
181	8.6	12.0	0.672
182	8.3	12.0	0.590
183	8.5	12.0	0.538
184	8.5	12.0	0.502
185	8.4	12.0	0.522
186	8.5	12.0	0.648
187	8.7	12.0	0.723
188	8.2	12.0	0.894
189	7.9	12.0	0.918
190	7.9	12.0	0.856
191	7.5	12.0	0.515
192	7.2	12.0	0.323
193	4.7	12.0	0.223
194	4.8	12.0	0.121
195	5.0	11.9	0.047
196	5.1	11.9	0.034
197	4.8	11.9	0.103
198	4.4	11.9	0.258
199	4.8	11.9	0.696
200	6.8	11.9	0.745
201	6.9	11.9	0.749
202	6.4	11.9	0.785
203	6.3	11.9	0.749
204	6.4	11.9	0.726
205	6.3	11.9	0.672
206	5.8	11.9	0.590
207	5.2	11.9	0.538
208	5.1	11.9	0.502
209	5.2	11.9	0.522
210	5.0	11.9	0.648
211	5.1	11.8	0.723
212	5.1	11.8	0.894
213	5.0	11.8	0.918
214	5.1	11.8	0.856
215	4.9	11.8	0.515
216	4.6	11.8	0.323
217	2.7	11.8	0.223
218	2.9	11.8	0.121
219	3.1	11.8	0.047
220	3.3	11.8	0.034
221	3.6	11.7	0.103
222	3.9	11.7	0.258
223	4.3	11.7	0.696
224	6.5	11.7	0.745
225	6.4	11.7	0.749
226	6.6	11.7	0.785
227	6.6	11.7	0.749
228	6.5	11.7	0.726
229	6.3	11.7	0.672
230	6.4	11.7	0.590
231	6.3	11.7	0.538
232	6.9	11.7	0.502
233	7.3	11.6	0.522
234	7.9	11.6	0.648
235	8.0	11.6	0.723
236	8.4	11.6	0.894
237	9.0	11.6	0.918
238	9.7	11.6	0.856
239	10.3	11.6	0.515
240	10.6	11.6	0.323
241	8.9	11.6	0.223
242	9.0	11.6	0.121
243	9.0	11.6	0.047
244	9.0	11.6	0.034
245	8.9	11.6	0.103
246	8.9	11.6	0.258
247	8.8	11.6	0.696
248	10.7	11.5	0.745
249	10.9	11.5	0.749
250	10.4	11.5	0.785
251	10.4	11.5	0.749
252	9.5	11.5	0.726
253	9.3	11.5	0.672
254	8.7	11.5	0.590
255	8.8	11.5	0.538
256	9.1	11.5	0.502
257	9.9	11.5	0.522
258	9.8	11.5	0.648
259	10.0	11.5	0.723
260	10.4	11.5	0.894
261	10.7	11.4	0.918
262	11.1	11.4	0.856
263	11.0	11.4	0.515
264	11.1	11.4	0.323
265	9.0	11.4	0.223
266	9.2	11.4	0.121
267	9.2	11.4	0.047
268	9.1	11.4	0.034
269	8.9	11.4	0.103
270	9.1	11.4	0.258
271	8.9	11.4	0.696
272	11.1	11.4	0.745
273	11.2	11.3	0.749
274	10.8	11.3	0.785
275	10.4	11.3	0.749
276	9.8	11.3	0.726
277	9.3	11.3	0.672
278	9.0	11.3	0.590
279	8.7	11.3	0.538
280	8.7	11.3	0.502
281	8.6	11.3	0.522
282	8.8	11.3	0.648
283	8.9	11.3	0.723
284	8.8	11.3	0.894
285	9.2	11.3	0.918
286	9.2	11.3	0.856
287	9.2	11.3	0.515
288	9.4	11.3	0.323
289	7.0	11.3	0.223
290	7.0	11.3	0.121
291	6.9	11.2	0.047
292	6.9	11.2	0.034
293	7.0	11.2	0.103
294	7.1	11.2	0.258
295	6.9	11.2	0.696
296	9.0	11.2	0.745
297	8.9	11.2	0.749
298	8.9	11.2	0.785
