# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.7	14.6	0.179
2	7.9	14.5	0.097
3	8.3	14.0	0.038
4	8.1	13.9	0.027
5	8.3	13.9	0.082
6	8.3	13.9	0.206
7	8.1	13.8	0.557
8	10.0	13.8	0.596
9	10.1	13.7	0.599
10	9.5	13.6	0.627
11	9.5	13.6	0.599
12	9.0	13.6	0.580
13	8.7	13.6	0.537
14	8.8	13.5	0.472
15	8.7	13.5	0.430
16	9.0	13.5	0.402
17	9.6	13.4	0.417
18	10.3	13.4	0.518
19	11.0	13.4	0.578
20	11.2	13.4	0.715
21	11.3	13.4	0.734
22	11.7	13.4	0.685
23	11.9	13.4	0.412
24	12.4	13.3	0.258
25	10.8	13.3	0.179
26	10.5	13.3	0.097
27	10.6	13.3	0.038
28	10.6	13.2	0.027
29	10.4	13.2	0.082
30	10.2	13.2	0.206
31	10.5	13.2	0.557
32	12.6	13.1	0.596
33	12.3	13.1	0.599
34	12.0	13.1	0.627
35	11.6	13.1	0.599
36	11.2	13.1	0.580
37	10.9	13.1	0.537
38	10.8	13.0	0.472
39	10.4	13.0	0.430
40	10.7	13.0	0.402
41	11.1	13.0	0.417
42	11.6	13.0	0.518
43	11.7	13.0	0.578
44	11.8	12.9	0.715
45	11.9	12.9	0.734
46	11.9	12.8	0.685
47	12.0	12.8	0.412
48	12.0	12.8	0.258
49	10.0	12.7	0.179
50	10.0	12.7	0.097
51	10.1	12.7	0.038
52	10.3	12.7	0.027
53	10.4	12.7	0.082
54	10.3	12.7	0.206
55	10.6	12.6	0.557
56	12.4	12.6	0.596
57	12.3	12.6	0.599
58	12.4	12.6	0.627
59	12.0	12.6	0.599
60	11.9	12.6	0.580
61	11.4	12.5	0.537
62	11.1	12.5	0.472
63	10.9	12.5	0.430
64	10.9	12.5	0.402
65	11.0	12.4	0.417
66	11.4	12.4	0.518
67	11.8	12.4	0.578
68	12.1	12.4	0.715
69	12.5	12.4	0.734
70	12.8	12.4	0.685
71	13.0	12.3	0.412
72	13.2	12.3	0.258
73	11.4	12.3	0.179
74	11.4	12.3	0.097
75	11.3	12.3	0.038
76	11.4	12.3	0.027
77	11.4	12.2	0.082
78	11.3	12.2	0.206
79	11.0	12.2	0.557
80	12.5	12.2	0.596
81	12.2	12.2	0.599
82	11.5	12.2	0.627
83	10.5	12.2	0.599
84	9.7	12.2	0.580
85	8.9	12.2	0.537
86	8.6	12.2	0.472
87	8.7	12.1	0.430
88	8.7	12.1	0.402
89	8.8	12.1	0.417
90	8.9	12.1	0.518
91	8.9	12.1	0.578
92	8.7	12.1	0.715
93	8.9	12.1	0.734
94	9.1	12.0	0.685
95	9.2	12.0	0.412
96	9.2	12.0	0.258
97	7.3	12.0	0.179
98	7.3	12.0	0.097
99	7.7	12.0	0.038
100	8.0	12.0	0.027
101	8.2	12.0	0.082
102	8.4	12.0	0.206
103	8.8	12.0	0.557
104	10.8	12.0	0.596
105	11.1	12.0	0.599
106	11.0	12.0	0.627
107	11.2	12.0	0.599
108	11.3	11.9	0.580
109	11.3	11.9	0.537
110	11.6	11.9	0.472
111	12.2	11.9	0.430
112	12.2	11.9	0.402
113	12.7	11.9	0.417
114	13.3	11.9	0.518
115	13.3	11.9	0.578
116	13.1	11.9	0.715
117	13.4	11.9	0.734
118	13.9	11.9	0.685
119	14.5	11.9	0.412
120	14.6	11.9	0.258
121	13.0	11.9	0.179
122	13.0	11.9	0.097
123	12.7	11.8	0.038
124	12.7	11.8	0.027
125	12.0	11.8	0.082
126	11.6	11.8	0.206
127	11.4	11.8	0.557
128	13.3	11.8	0.596
129	13.1	11.8	0.599
130	12.6	11.8	0.627
131	11.9	11.8	0.599
132	11.2	11.7	0.580
133	10.3	11.7	0.537
134	9.7	11.7	0.472
135	9.4	11.7	0.430
136	8.9	11.7	0.402
137	8.9	11.7	0.417
138	9.2	11.7	0.518
139	8.8	11.7	0.578
140	8.8	11.7	0.715
141	8.9	11.7	0.734
142	8.9	11.6	0.685
143	8.9	11.6	0.412
144	8.8	11.6	0.258
145	6.7	11.6	0.179
146	6.9	11.6	0.097
147	7.0	11.6	0.038
148	7.1	11.6	0.027
149	7.5	11.6	0.082
150	7.3	11.6	0.206
151	7.3	11.6	0.557
152	9.5	11.5	0.596
153	9.3	11.5	0.599
154	8.7	11.5	0.627
155	8.5	11.5	0.599
156	8.1	11.5	0.580
157	7.7	11.5	0.537
158	7.1	11.5	0.472
159	6.8	11.5	0.430
160	6.8	11.5	0.402
161	7.4	11.5	0.417
162	7.8	11.5	0.518
163	8.4	11.4	0.578
164	8.5	11.4	0.715
165	9.0	11.4	0.734
166	9.1	11.4	0.685
167	9.7	11.4	0.412
168	9.8	11.4	0.258
169	8.1	11.4	0.179
170	8.0	11.4	0.097
171	8.1	11.4	0.038
172	7.7	11.4	0.027
173	7.6	11.4	0.082
174	7.2	11.4	0.206
175	7.2	11.4	0.557
176	9.1	11.4	0.596
177	9.0	11.4	0.599
178	8.8	11.4	0.627
179	8.3	11.4	0.599
180	7.9	11.4	0.580
181	8.0	11.4	0.537
182	7.8	11.4	0.472
183	8.0	11.4	0.430
184	8.0	11.4	0.402
185	7.9	11.3	0.417
186	8.0	11.3	0.518
187	8.2	11.3	0.578
188	7.7	11.3	0.715
189	7.4	11.3	0.734
190	7.4	11.3	0.685
191	7.1	11.3	0.412
192	6.8	11.3	0.258
193	4.4	11.3	0.179
194	4.5	11.3	0.097
195	4.7	11.3	0.038
196	4.8	11.3	0.027
197	4.5	11.3	0.082
198	4.2	11.3	0.206
199	4.5	11.3	0.557
200	6.3	11.2	0.596
201	6.5	11.2	0.599
202	6.0	11.2	0.627
203	5.9	11.2	0.599
204	6.0	11.2	0.580
205	5.9	11.2	0.537
206	5.4	11.2	0.472
207	4.9	11.2	0.430
208	4.8	11.2	0.402
209	4.9	11.2	0.417
210	4.7	11.2	0.518
211	4.8	11.2	0.578
212	4.8	11.2	0.715
213	4.7	11.2	0.734
214	4.7	11.2	0.685
215	4.6	11.2	0.412
216	4.3	11.1	0.258
217	2.5	11.1	0.179
218	2.7	11.1	0.097
219	2.9	11.1	0.038
220	3.1	11.1	0.027
221	3.4	11.1	0.082
222	3.6	11.1	0.206
223	4.0	11.1	0.557
224	6.1	11.1	0.596
225	6.0	11.1	0.599
226	6.2	11.1	0.627
227	6.2	11.1	0.599
228	6.1	11.1	0.580
229	5.9	11.1	0.537
230	6.0	11.1	0.472
231	5.9	11.1	0.430
232	6.5	11.1	0.402
233	6.9	11.0	0.417
234	7.5	11.0	0.518
235	7.5	11.0	0.578
236	7.9	11.0	0.715
237	8.5	11.0	0.734
238	9.1	11.0	0.685
239	9.6	11.0	0.412
240	10.0	11.0	0.258
241	8.4	11.0	0.179
242	8.4	11.0	0.097
243	8.4	11.0	0.038
244	8.4	11.0	0.027
245	8.4	11.0	0.082
246	8.3	11.0	0.206
247	8.3	11.0	0.557
248	10.0	10.9	0.596
249	10.2	10.9	0.599
250	9.7	10.9	0.627
251	9.8	10.9	0.599
252	8.9	10.9	0.580
253	8.8	10.9	0.537
254	8.2	10.9	0.472
255	8.3	10.9	0.430
256	8.6	10.9	0.402
257	9.3	10.9	0.417
258	9.2	10.9	0.518
259	9.4	10.9	0.578
260	9.8	10.9	0.715
261	10.0	10.8	0.734
262	10.4	10.8	0.685
263	10.3	10.8	0.412
264	10.4	10.8	0.258
265	8.5	10.8	0.179
266	8.7	10.8	0.097
267	8.6	10.8	0.038
268	8.6	10.8	0.027
269	8.3	10.8	0.082
270	8.5	10.8	0.206
271	8.4	10.8	0.557
272	10.4	10.8	0.596
273	10.5	10.8	0.599
274	10.1	10.8	0.627
275	9.8	10.8	0.599
276	9.2	10.7	0.580
277	8.7	10.7	0.537
278	8.4	10.7	0.472
279	8.2	10.7	0.430
280	8.2	10.7	0.402
281	8.1	10.7	0.417
282	8.3	10.7	0.518
283	8.3	10.7	0.578
284	8.3	10.7	0.715
285	8.6	10.7	0.734
286	8.7	10.7	0.685
287	8.7	10.7	0.412
288	8.8	10.7	0.258
289	6.5	10.7	0.179
290	6.5	10.7	0.097
291	6.5	10.6	0.038
292	6.5	10.6	0.027
293	6.6	10.6	0.082
294	6.7	10.6	0.206
295	6.5	10.6	0.557
296	8.4	10.6	0.596
297	8.4	10.6	0.599
298	8.4	10.6	0.627
299	7.9	10.6	0.599
300	7.6	10.6	0.580
301	7.3	10.6	0.537
302	7.1	10.6	0.472
303	7.0	10.6	0.430
304	6.8	10.6	0.402
305	7.1	10.6	0.417
306	7.0	10.6	0.518
