Building ID,building_type,usage_type,heated_area_m2,heated_volume_m3,window_to_heated,window_to_wall,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct,heating_mismatch_score,heating_diff_abs_kwh,heating_diff_abs_pct
DEBW_522100053Xz,RH,residential,69.2,142.7,0.28656069364161846,0.270016339869281,1152.6405369750082,2183.7000000000003,-1031.059463024992,-47.21616811031698,47.21616811031698,1031.059463024992,47.21616811031698
DEBW_52210004zCV,RH,residential,52.4,96.1,0.384351145038168,0.3477209944751381,1114.4178726185728,1860.4,-745.9821273814273,-40.09794277474883,40.09794277474883,745.9821273814273,40.09794277474883
DEBW_522100050uW,EFH,residential,367.1,906.4,0.1651593571233996,0.1633659364643117,5822.153125196675,8300.1,-2477.946874803325,-29.854421932305936,29.854421932305936,2477.946874803325,29.854421932305936
DEBW_52210005zd7,MFH,residential,338.7,1058.5,0.1759078830823738,0.2165994110590031,6980.44295213849,9703.0,-2722.55704786151,-28.058920414938783,28.058920414938783,2722.55704786151,28.058920414938783
DEBW_52210005Jkv,EFH,residential,253.5,792.2,0.1831163708086785,0.1400132714001327,6044.244983733047,8359.8,-2315.5550162669524,-27.69868915843624,27.69868915843624,2315.5550162669524,27.69868915843624
DEBW_52210005gwl,RH,residential,53.1,166.0,0.48907721280602634,0.2700426328376832,1817.14331173561,2512.8,-695.6566882643901,-27.684522773972862,27.684522773972862,695.6566882643901,27.684522773972862
DEBW_522100051Hd,MFH,residential,311.1,972.2,0.1156862745098039,0.2594621872972388,5849.586546020577,8086.900000000001,-2237.3134539794237,-27.665897364619614,27.665897364619614,2237.3134539794237,27.665897364619614
DEBW_52210004Fca,EFH,residential,74.2,231.8,0.36388140161725074,0.1751767988062025,2197.5489668806786,3024.0,-826.4510331193214,-27.329729931194496,27.329729931194496,826.4510331193214,27.329729931194496
DEBW_52210005fBS,MFH,residential,363.3,936.4,0.20206440957886043,0.197710746027471,6579.379737753536,9053.2,-2473.820262246465,-27.3253685133043,27.3253685133043,2473.820262246465,27.3253685133043
DEBW_52210005k39,MFH,residential,525.2,1641.4,0.16814546839299316,0.2193710254372019,10886.66084026815,14805.000000000002,-3918.3391597318514,-26.466323267354618,26.466323267354618,3918.3391597318514,26.466323267354618
DEBW_52210005zmV,EFH,residential,641.1,1555.8,0.13080642645453128,0.1707908189242581,9440.989398861551,12687.9,-3246.9106011384483,-25.5906068075761,25.5906068075761,3246.9106011384483,25.5906068075761
DEBW_52210005xO2,EFH,residential,223.3,697.7,0.2025974025974026,0.1749419953596288,5582.678629944692,7500.7,-1918.0213700553077,-25.57123161911965,25.57123161911965,1918.0213700553077,25.57123161911965
DEBW_52210004FT7,MFH,residential,431.0,1346.7,0.20088167053364273,0.2142379927251132,9596.074440590588,12867.4,-3271.3255594094117,-25.423361047370964,25.423361047370964,3271.3255594094117,25.423361047370964
DEBW_52210005djN,MFH,residential,440.9,1377.7,0.20991154456792924,0.2152075340076735,10069.230291865157,13429.9,-3360.669708134843,-25.02378802623134,25.02378802623134,3360.669708134843,25.02378802623134
DEBW_52210004G6k,MFH,residential,349.6,1092.5,0.22617276887871854,0.2131037084950409,8323.5104444646,11101.5,-2777.9895555353996,-25.023551371755165,25.023551371755165,2777.9895555353996,25.023551371755165
DEBW_52210003tQY,MFH,residential,449.8,1405.5,0.1760337927967986,0.2262544290776088,9764.835848116883,12952.1,-3187.264151883117,-24.60808789218055,24.60808789218055,3187.264151883117,24.60808789218055
DEBW_52210004dQ2,EFH,residential,191.4,598.1,0.22204806687565307,0.1842938294089588,5013.840504476456,6601.500000000001,-1587.659495523545,-24.049980997099826,24.049980997099826,1587.659495523545,24.049980997099826
DEBW_52210004FOx,EFH,residential,228.5,714.2,0.21947483588621444,0.1711545681034777,5853.44489820389,7650.7,-1797.2551017961096,-23.491381204283392,23.491381204283392,1797.2551017961096,23.491381204283392
DEBW_522100060Oq,EFH,residential,294.6,920.8,0.17107942973523418,0.1775398055516415,6581.623510176676,8598.7,-2017.0764898233247,-23.457923753861916,23.457923753861916,2017.0764898233247,23.457923753861916
DEBW_522100060Iy,MFH,residential,385.1,1203.5,0.22137107244871465,0.2080587689754478,9038.832227249268,11804.6,-2765.7677727507325,-23.42957637489396,23.42957637489396,2765.7677727507325,23.42957637489396
DEBW_52210005JOp,MFH,residential,371.7,1161.6,0.20086090933548562,0.2153322565759113,8550.66338839344,11152.6,-2601.936611606561,-23.330314111566462,23.330314111566462,2601.936611606561,23.330314111566462
DEBW_522100060Xf,MFH,residential,482.1,1506.6,0.20242688238954573,0.2158784232181569,11157.978568690329,14550.2,-3392.221431309672,-23.31391617510187,23.31391617510187,3392.221431309672,23.31391617510187
DEBW_52210005gOD,MFH,residential,378.2,1181.8,0.23421470121628765,0.2112014496554684,9403.500558160476,12237.5,-2833.9994418395236,-23.158320260179966,23.158320260179966,2833.9994418395236,23.158320260179966
DEBW_52210004caM,RH,residential,888.6,2251.2,0.20757371145622325,0.2989804353816478,13935.128313803423,18036.5,-4101.371686196577,-22.739288033690443,22.739288033690443,4101.371686196577,22.739288033690443
DEBW_52210003xXe,MFH,residential,697.5,2179.6,0.18633691756272405,0.2086497246793276,15258.061301402882,19704.1,-4446.038698597116,-22.5640282915592,22.5640282915592,4446.038698597116,22.5640282915592
DEBW_52210004zyP,MFH,residential,412.4,1288.8,0.2188409311348206,0.207380684298812,9821.11954896378,12667.5,-2846.3804510362206,-22.469946327501248,22.469946327501248,2846.3804510362206,22.469946327501248
DEBW_522100060vu,MFH,residential,297.7,930.4,0.19570036949949612,0.2123177842565597,6739.931754291881,8681.800000000001,-1941.8682457081204,-22.36711564085927,22.36711564085927,1941.8682457081204,22.36711564085927
DEBW_52210005Mki,MFH,residential,451.2,1409.9,0.22737145390070923,0.2110992221902136,10755.173043763843,13840.399999999998,-3085.2269562361544,-22.291458023150735,22.291458023150735,3085.2269562361544,22.291458023150735
DEBW_52210005K93,MFH,residential,426.0,1331.4,0.23075117370892018,0.2113387655064175,10265.875296303762,13204.1,-2938.224703696238,-22.252366338457282,22.252366338457282,2938.224703696238,22.252366338457282
DEBW_52210004dF4,RH,residential,136.9,427.9,0.39035792549306064,0.2965758366169044,3826.189717083937,4917.4,-1091.2102829160626,-22.190797635255677,22.190797635255677,1091.2102829160626,22.190797635255677
DEBW_52210004edl,EFH,residential,237.7,743.0,0.21598653765250317,0.1725772294867054,6203.671442865316,7969.0,-1765.3285571346842,-22.152447699017245,22.152447699017245,1765.3285571346842,22.152447699017245
DEBW_52210006NMW,MFH,residential,328.3,1026.0,0.2550106609808102,0.2089917371876482,8376.778521975988,10721.8,-2345.0214780240112,-21.87152789665925,21.87152789665925,2345.0214780240112,21.87152789665925
DEBW_52210005yqw,MFH,residential,419.1,1309.8,0.23736578382247672,0.210887814805393,10255.314737789608,13069.9,-2814.585262210392,-21.534864552983514,21.534864552983514,2814.585262210392,21.534864552983514
DEBW_52210005N87,MFH,residential,297.1,928.5,0.25270952541231906,0.2104555010511562,7576.58396665934,9654.5,-2077.91603334066,-21.522772109800197,21.522772109800197,2077.91603334066,21.522772109800197
DEBW_52210004xqq,MFH,residential,551.2,1722.5,0.1402031930333817,0.223850766155896,10809.40562783614,13769.499999999998,-2960.0943721638578,-21.497471746714538,21.497471746714538,2960.0943721638578,21.497471746714538
DEBW_52210005KXK,MFH,residential,176.3,550.8,0.24645490640952922,0.207398568019093,4806.674809431151,6108.4,-1301.725190568849,-21.31041173742468,21.31041173742468,1301.725190568849,21.31041173742468
DEBW_52210006Hwg,RH,residential,851.2,2105.4,0.21116071428571423,0.2983434584868704,13238.566782400105,16803.4,-3564.8332175998967,-21.21495184069829,21.21495184069829,3564.8332175998967,21.21495184069829
DEBW_52210006IxM,GMH,residential,1406.2,4394.4,0.15493528658796757,0.2185211931556037,28510.67086113952,36171.6,-7660.92913886048,-21.179403562077653,21.179403562077653,7660.92913886048,21.179403562077653
DEBW_52210005M2x,MFH,residential,415.8,1299.2,0.22123617123617123,0.2167173180672367,10133.08834280302,12848.1,-2715.011657196981,-21.131619906421815,21.131619906421815,2715.011657196981,21.131619906421815
DEBW_52210003uzO,MFH,residential,414.7,1295.9,0.22534362189534604,0.2109861826063397,9900.680600364294,12547.0,-2646.319399635706,-21.09125208923014,21.09125208923014,2646.319399635706,21.09125208923014
DEBW_52210004bgQ,MFH,residential,403.9,1262.3,0.2236444664520921,0.2140217030753921,9886.553325761282,12527.4,-2640.8466742387172,-21.080564795877173,21.080564795877173,2640.8466742387172,21.080564795877173
DEBW_52210005diH,MFH,residential,420.5,1314.0,0.24133174791914389,0.210845626428423,10690.897093787127,13487.5,-2796.6029062128728,-20.73477594967839,20.73477594967839,2796.6029062128728,20.73477594967839
DEBW_52210005xLD,MFH,residential,317.3,991.4,0.24390167034352353,0.2054747238742566,7782.331743603552,9812.6,-2030.2682563964481,-20.690421054526304,20.690421054526304,2030.2682563964481,20.690421054526304
DEBW_52210004y9B,MFH,residential,388.6,1214.5,0.22552753474009263,0.2170327629330626,9606.38060250841,12099.9,-2493.519397491589,-20.60776863851428,20.60776863851428,2493.519397491589,20.60776863851428
DEBW_52210004xsG,EFH,residential,162.4,507.4,0.2538177339901478,0.1664176995437846,4657.623511835604,5857.700000000001,-1200.0764881643963,-20.487161994714583,20.487161994714583,1200.0764881643963,20.487161994714583
DEBW_52210004HrR,MFH,residential,466.7,1458.4,0.21716305978144415,0.2088441962537863,11150.14424837456,14011.0,-2860.8557516254405,-20.418640722471203,20.418640722471203,2860.8557516254405,20.418640722471203
DEBW_52210005JtI,MFH,residential,601.6,1880.0,0.20743018617021278,0.2081081982522846,13945.52106094917,17461.1,-3515.578939050829,-20.133777018921084,20.133777018921084,3515.578939050829,20.133777018921084
DEBW_52210004xfl,MFH,residential,401.0,1253.1,0.2397506234413965,0.2105977963242864,9864.921095115717,12319.9,-2454.978904884283,-19.92693856999069,19.92693856999069,2454.978904884283,19.92693856999069
DEBW_52210004zE4,MFH,residential,213.3,666.4,0.23464603844350676,0.2179403440017417,5392.30295362171,6733.0,-1340.69704637829,-19.912328031758356,19.912328031758356,1340.69704637829,19.912328031758356
DEBW_52210006KHx,MFH,residential,399.6,1248.6,0.24111611611611608,0.210293122640068,9860.260186925629,12285.7,-2425.439813074372,-19.741974922669215,19.741974922669215,2425.439813074372,19.741974922669215
