Heating Mismatch Outliers - Table Format
(Sorted by descending absolute RC-SimStadt percentage difference)

Building ID              | Building Type | Usage Type        | Heated Area [m²] | Heated Volume [m³] | Window-to-Floor | Window-to-Wall | RC [kWh]  | SimStadt [kWh] | Difference [kWh] | Difference [%]
-------------------------|---------------|-------------------|------------------|--------------------|-----------------|----------------|-----------|-----------------|--------------------|--------
DEBW_522100053Xz         | RH            | residential       |             69.2 |              142.7 |           0.287 |          0.270 |    1082.9 |         2187.9 |            -1105.0 |    -50.5%
DEBW_52210004zCV         | RH            | residential       |             52.4 |               96.1 |           0.384 |          0.348 |    1029.0 |         1863.8 |             -834.8 |    -44.8%
DEBW_522100050uW         | EFH           | residential       |            367.1 |              906.4 |           0.165 |          0.163 |    5514.6 |         8302.0 |            -2787.4 |    -33.6%
DEBW_52210005zd7         | MFH           | residential       |            338.7 |             1058.5 |           0.176 |          0.217 |    6576.5 |         9702.1 |            -3125.6 |    -32.2%
DEBW_52210004Fca         | EFH           | residential       |             74.2 |              231.8 |           0.364 |          0.175 |    2050.2 |         3020.8 |             -970.6 |    -32.1%
DEBW_52210005Jkv         | EFH           | residential       |            253.5 |              792.2 |           0.183 |          0.140 |    5709.6 |         8357.6 |            -2648.0 |    -31.7%
DEBW_522100051Hd         | MFH           | residential       |            311.1 |              972.2 |           0.116 |          0.259 |    5544.2 |         8085.4 |            -2541.2 |    -31.4%
DEBW_52210005fBS         | MFH           | residential       |            363.3 |              936.4 |           0.202 |          0.198 |    6207.0 |         9048.7 |            -2841.7 |    -31.4%
DEBW_52210005k39         | MFH           | residential       |            525.2 |             1641.4 |           0.168 |          0.219 |   10254.0 |        14807.2 |            -4553.2 |    -30.8%
DEBW_52210005xO2         | EFH           | residential       |            223.3 |              697.7 |           0.203 |          0.175 |    5243.2 |         7503.0 |            -2259.8 |    -30.1%
DEBW_52210004FT7         | MFH           | residential       |            431.0 |             1346.7 |           0.201 |          0.214 |    9020.0 |        12870.7 |            -3850.7 |    -29.9%
