hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1,0.0,669.7,-669.7
2,0.0,688.0999999999999,-688.0999999999999
3,0.0,723.4999999999999,-723.4999999999999
4,0.4024558743796583,710.1999999999998,-709.7975441256201
5,1.4224430941379864,722.1999999999998,-720.7775569058618
6,9.253986772065472,724.8999999999996,-715.6460132279342
7,44.906775612724175,709.9999999999999,-665.0932243872758
8,2130.3216650502127,873.8999999999996,1256.421665050213
9,1744.7083839008872,878.6999999999997,866.0083839008875
10,1392.393601729159,828.7,563.6936017291589
11,1127.0432676385835,831.6,295.4432676385835
12,836.7965481768764,783.4999999999998,53.29654817687663
13,610.2656583624755,759.9000000000001,-149.63434163752459
14,462.0636848446805,764.3999999999999,-302.33631515531937
15,392.930688953749,762.4999999999999,-369.5693110462509
16,402.3306971197756,784.5999999999998,-382.2693028802242
17,495.1911610984886,834.2000000000004,-339.0088389015118
18,640.9679225037897,901.5000000000001,-260.5320774962104
19,772.844996675877,961.1999999999999,-188.3550033241229
20,847.604678442852,977.4000000000002,-129.7953215571482
21,899.9820712434549,987.3000000000001,-87.31792875654514
22,960.4700778067056,1018.6999999999997,-58.2299221932941
23,1007.2832346544876,1041.8999999999994,-34.616765345511794
24,1063.3576441985724,1079.5000000000005,-16.14235580142804
25,0.0,944.1000000000004,-944.1000000000004
26,0.2381514224393366,915.7000000000002,-915.4618485775608
27,3.330746067856716,922.8000000000003,-919.4692539321436
28,55.991421600616206,923.2000000000003,-867.2085783993841
29,228.91869079435256,910.6000000000004,-681.6813092056478
30,391.3515502219805,892.6999999999999,-501.3484497780194
31,546.1295194322602,913.3000000000001,-367.1704805677399
32,2717.382592098956,1098.5000000000002,1618.882592098956
33,2213.501310053069,1069.7000000000005,1143.8013100530686
34,1835.400370346467,1048.3999999999999,787.0003703464672
35,1558.813421792339,1015.1,543.7134217923391
36,1262.8877683643354,973.6000000000001,289.2877683643353
37,1058.5045387213524,951.7,106.8045387213524
38,869.6315870323607,941.9000000000002,-72.2684129676395
39,715.3668369554944,909.5000000000002,-194.13316304450586
40,738.8909805442885,929.3000000000001,-190.4090194557116
41,812.7643085018894,971.5000000000002,-158.73569149811078
42,899.548857194843,1014.9,-115.351142805157
43,949.9432560591202,1023.0000000000001,-73.05674394087987
44,983.816325345054,1025.9999999999998,-42.183674654945776
45,1017.6844429095592,1038.8999999999994,-21.215557090440257
46,1036.1631990410613,1041.5999999999995,-5.436800958938193
47,1050.6115969852297,1044.0999999999995,6.511596985230199
48,1059.4602622111538,1045.2999999999997,14.160262211154077
49,0.0,874.7999999999996,-874.7999999999996
50,0.0729917842549525,871.6999999999996,-871.6270082157447
51,1.5539427569141346,878.2999999999997,-876.7460572430856
52,35.375226480960634,899.6000000000001,-864.2247735190394
53,192.53705535821217,910.1000000000003,-717.5629446417881
54,365.1817369739511,895.9000000000003,-530.7182630260493
55,538.0174055804242,927.1000000000003,-389.082594419576
56,2689.296176993394,1081.9000000000003,1607.3961769933937
57,2204.553077435659,1072.4000000000005,1132.1530774356584
58,1860.8305756489185,1077.9000000000005,782.930575648918
59,1585.3919536110457,1048.6,536.7919536110458
60,1317.2210904077667,1039.7999999999993,277.42109040776745
61,1038.4959867947098,995.8,42.695986794709825
62,826.8245057563855,972.1000000000001,-145.27549424361462
63,701.1835285437226,953.5000000000001,-252.31647145627755
64,674.0928069676243,949.9000000000002,-275.80719303237595
65,731.243115753111,961.4999999999999,-230.25688424688883
66,833.849178524872,998.6999999999999,-164.850821475128
67,922.4615109788476,1033.1999999999996,-110.73848902115196
68,988.7529760446844,1057.9000000000003,-69.14702395531594
69,1051.733997008084,1090.3,-38.566002991915866
70,1100.9329161998996,1113.9999999999998,-13.067083800100136
71,1142.8813792101805,1136.3999999999999,6.481379210180648
72,1175.396322726357,1152.2999999999997,23.096322726357357
73,0.0,995.4999999999999,-995.4999999999999
74,0.5152608267800481,995.9,-995.3847391732199
75,15.092209646318326,985.6000000000003,-970.5077903536819
76,155.59766173510732,993.1999999999999,-837.6023382648926
77,377.6571991568629,990.7999999999998,-613.1428008431369
78,550.4810028536168,985.0000000000002,-434.5189971463834
79,656.9959147573246,961.1999999999999,-304.2040852426753
80,2770.021631636596,1094.2000000000005,1675.8216316365954
81,2246.198819052505,1061.9000000000003,1184.2988190525045
82,1823.337340312768,1007.8999999999999,815.4373403127681
83,1426.9518215756943,915.6000000000001,511.3518215756942
84,1067.3617817061072,844.8,222.56178170610724
85,767.0525248593559,780.0999999999999,-13.047475140643996
86,571.131404757564,754.8000000000003,-183.66859524243625
87,482.1877141036933,762.6999999999997,-280.5122858963064
88,478.2097339098205,757.4000000000001,-279.1902660901796
89,514.5503188711856,770.6,-256.0496811288144
90,572.0401603970265,779.0,-206.9598396029735
91,617.3013636910513,776.0,-158.69863630894872
92,631.9634758495483,757.5,-125.53652415045167
93,674.6550663337862,781.1999999999998,-106.54493366621364
94,704.5207492847086,794.1000000000001,-89.57925071529155
95,724.9488863959899,802.6000000000004,-77.65111360401045
96,737.0588743564294,805.0000000000006,-67.94112564357113
97,0.0,633.5,-633.5
98,0.0,641.4999999999999,-641.4999999999999
99,0.0,675.2000000000002,-675.2000000000002
100,0.7522477756359343,695.3999999999999,-694.6477522243639
101,3.347111567150402,719.2999999999997,-715.9528884328494
102,27.771294085205312,731.9999999999995,-704.2287059147942
103,118.0567875113728,764.1999999999998,-646.143212488627
104,2286.109840971936,944.7000000000005,1341.4098409719356
105,1894.4793870900069,965.4000000000002,929.0793870900067
106,1597.107564305322,962.1,635.007564305322
107,1378.0670009964065,978.3000000000002,399.7670009964063
108,1216.979733500142,987.1000000000001,229.8797335001418
109,1101.4392634848784,989.9999999999998,111.43926348487867
110,1031.138890082642,1013.8,17.338890082642138
111,1017.7522784512696,1066.4000000000008,-48.64772154873117
112,994.2306432612328,1061.1000000000004,-66.86935673876758
113,1046.8365874844662,1108.8000000000002,-61.963412515533946
114,1122.883725413624,1156.3,-33.41627458637595
115,1161.2805265203122,1164.1999999999994,-2.9194734796872126
116,1164.203205174112,1141.8,22.403205174112145
117,1206.4871819751947,1172.7,33.7871819751947
118,1260.2464699720797,1216.2999999999995,43.946469972080195
119,1322.390347020633,1268.6999999999994,53.69034702063368
120,1344.734961021204,1274.1999999999996,70.53496102120448
121,0.0,1134.3,-1134.3
122,3.341772434239905,1136.1999999999998,-1132.85822756576
123,112.59387796582244,1107.2000000000003,-994.6061220341778
124,385.7443150349228,1104.3000000000002,-718.5556849650774
125,557.9840976634983,1050.2,-492.2159023365017
126,676.1894424812813,1012.1999999999998,-336.01055751871854
127,768.6611796287303,998.1,-229.43882037126968
128,2889.868701137245,1158.9999999999995,1730.8687011372454
129,2370.402799778216,1142.1,1228.302799778216
130,1960.8708307593377,1098.8000000000004,862.0708307593372
131,1571.2830228004273,1034.7999999999993,536.483022800428
132,1223.6325980559966,979.7000000000002,243.93259805599644
133,903.2620972179708,902.3000000000002,0.9620972179706087
134,662.1903623857431,844.4,-182.20963761425685
135,529.0182277443686,817.5999999999998,-288.5817722556312
136,453.7808664823351,779.5999999999999,-325.8191335176648
137,477.0543092731606,780.2999999999998,-303.24569072683926
138,565.3373412934063,804.9000000000007,-239.56265870659433
139,595.2498510760097,772.1999999999999,-176.95014892399024
140,628.9753477937364,767.6000000000003,-138.62465220626382
141,661.1973925056492,775.0,-113.80260749435081
142,678.8840192121387,774.3000000000001,-95.41598078786137
143,692.3656508175977,775.0,-82.63434918240227
144,698.0973833336377,771.6000000000001,-73.50261666636243
145,0.0,588.7000000000002,-588.7000000000002
146,0.0,606.7999999999998,-606.7999999999998
147,0.0,611.2,-611.2
148,0.4144490610696431,621.8,-621.3855509389304
149,1.2832944268327526,652.2999999999998,-651.0167055731671
150,5.628214597538042,637.1,-631.4717854024619
151,27.143915018092343,641.1999999999999,-614.0560849819076
152,2030.315816093379,827.6000000000001,1202.7158160933789
153,1637.4644392680912,813.5,823.9644392680912
154,1293.298891214328,761.3,531.9988912143281
155,1010.42327838782,741.1999999999998,269.2232783878202
156,749.7563073400459,704.0999999999999,45.65630734004594
157,518.7613764617669,675.7000000000003,-156.9386235382334
158,298.3091537232674,618.0999999999999,-319.7908462767325
159,170.33784495259275,595.1000000000003,-424.76215504740753
160,140.55018279398303,590.4000000000001,-449.84981720601706
161,234.58275078670897,646.8,-412.217249213291
162,353.33124827569367,681.8000000000002,-328.4687517243065
163,478.1011764243146,735.4999999999997,-257.39882357568507
164,545.1530612410204,744.2999999999998,-199.14693875897945
165,626.6482545992915,787.1999999999998,-160.55174540070834
166,668.0783440395342,795.3000000000002,-127.22165596046602
167,740.5082725467263,847.3000000000001,-106.79172745327378
168,774.000556123889,858.4999999999997,-84.4994438761106
169,0.0,705.4999999999997,-705.4999999999997
170,0.0,698.9999999999999,-698.9999999999999
171,0.1937168316888237,706.9999999999997,-706.8062831683109
172,0.938090292165241,675.2000000000002,-674.2619097078349
173,3.65593188389604,665.6,-661.944068116104
174,17.975960314258284,632.1,-614.1240396857418
175,55.1323637628336,631.5000000000001,-576.3676362371665
176,2099.6579340095327,789.6999999999999,1309.957934009533
177,1680.3725529142555,786.3999999999999,893.9725529142556
178,1364.8489508259618,768.7,596.1489508259617
179,1116.141137301556,725.8999999999997,390.24113730155625
180,921.8344882234557,688.2999999999998,233.5344882234558
181,787.7404703890768,702.9000000000001,84.8404703890767
182,678.1925838721314,682.4000000000001,-4.207416127868669
183,634.8468971536815,699.2999999999998,-64.4531028463183
