hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1,587.1394810842246,787.8999999999997,-200.76051891577515
2,655.4696321584505,805.3000000000005,-149.83036784155001
3,729.447538445892,838.0999999999999,-108.65246155410796
4,752.6869326446675,826.6000000000001,-73.9130673553326
5,788.6378053173634,837.0,-48.36219468263664
6,811.9079387762678,839.4,-27.492061223732208
7,814.3059172197891,826.3000000000002,-11.994082780211102
8,819.3240718641729,819.8999999999999,-0.5759281358269845
9,832.4847503608873,825.2000000000002,7.2847503608871875
10,762.284514684715,777.8000000000001,-15.515485315285105
11,703.2076216547808,781.2999999999998,-78.092378345219
12,565.7476197806469,735.8999999999996,-170.15238021935272
13,449.5495440462177,712.0999999999999,-262.5504559537822
14,374.0721443748248,717.6999999999999,-343.62785562517513
15,344.2166748463963,715.3,-371.08332515360365
16,368.426942297394,737.4999999999997,-369.07305770260564
17,460.4729572454802,782.5999999999997,-322.1270427545195
18,595.3659558898776,845.8000000000001,-250.4340441101225
19,718.3126610060204,902.1000000000001,-183.7873389939797
20,790.9368542791276,916.9000000000002,-125.9631457208726
21,845.7506962372031,926.2000000000002,-80.44930376279706
22,910.6447797239836,954.8,-44.155220276016394
23,962.363174418,977.5000000000002,-15.136825582000256
24,1023.1421103446976,1013.1999999999999,9.942110344697653
25,1077.7015917168856,1045.4999999999995,32.201591716886014
26,1073.296061513765,1018.6999999999997,54.59606151376522
27,1093.2058656895213,1025.2999999999997,67.90586568952153
28,1104.7895419261447,1025.8999999999996,78.88954192614506
29,1101.7967584630496,1014.1999999999999,87.5967584630497
30,1091.338051200011,997.2,94.13805120001098
31,1112.9842986843305,1016.5999999999999,96.38429868433059
32,1130.2056168227016,1029.6999999999996,100.505616822702
33,1108.2289075370788,1003.0000000000001,105.22890753707873
34,1068.7772400560764,984.4000000000002,84.37724005607618
35,1028.589024628816,952.1000000000001,76.48902462881597
36,908.1430139549882,913.3000000000001,-5.156986045011877
37,831.752987643472,893.4000000000001,-61.64701235652808
38,731.6802451607788,883.4000000000002,-151.71975483922142
39,640.622985980844,853.5000000000002,-212.87701401915626
40,686.6678700696496,872.6999999999996,-186.03212993035004
41,762.6037607483609,911.1000000000004,-148.4962392516395
42,850.2002957320461,951.7,-101.49970426795392
43,901.1084413883286,958.9999999999999,-57.89155861167126
44,938.5654208901644,962.2,-23.634579109835613
45,977.267987970821,975.0000000000002,2.267987970820741
46,1000.9080438098442,976.9000000000003,24.00804380984391
47,1020.4913453490911,979.3000000000002,41.191345349090966
48,1034.122227274261,980.1000000000001,54.022227274260786
49,1043.9605663676905,979.6000000000001,64.36056636769035
50,1049.4622269740744,977.4000000000002,72.06222697407418
51,1061.869735573002,984.2000000000002,77.66973557300173
52,1086.471908778366,1004.1000000000001,82.37190877836588
53,1101.0237793204212,1013.0999999999999,87.92377932042132
54,1094.085349459425,999.6999999999999,94.38534945942513
55,1126.1972790165314,1029.3999999999996,96.79727901653177
56,1117.501729897432,1015.1,102.40172989743189
57,1110.4069206326826,1005.8999999999999,104.50692063268275
58,1100.6434609416488,1010.8999999999999,89.74346094164889
59,1059.6022550188743,984.5000000000002,75.10225501887408
60,966.3757558413356,975.8000000000003,-9.424244158664692
61,822.790996527736,934.6,-111.80900347226407
62,704.5303009686266,911.8000000000002,-207.26969903137353
63,635.1244933019652,895.5000000000002,-260.375506698035
64,632.0463645052497,891.6000000000001,-259.55363549475044
65,690.9978440080477,902.3000000000002,-211.30215599195253
66,787.0183317215412,937.7,-150.6816682784588
67,871.8670188926267,969.8000000000002,-97.93298110737351
68,938.7910063971992,992.7999999999998,-54.008993602800615
69,1004.6863136915528,1023.1000000000001,-18.41368630844738
70,1057.7918249715249,1045.7999999999997,11.991824971525148
71,1104.0605610755874,1066.6000000000006,37.46056107558684
