hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_kwh_h
1,0.0,669.7,-669.7
2,0.0,688.0999999999999,-688.0999999999999
3,0.0,723.4999999999999,-723.4999999999999
4,0.0,710.1999999999998,-710.1999999999998
5,0.0,722.1999999999998,-722.1999999999998
6,0.0,724.8999999999996,-724.8999999999996
7,0.1995307416233049,709.9999999999999,-709.8004692583766
8,1457.9650668526774,873.8999999999996,584.0650668526778
9,1365.3854970651776,878.6999999999997,486.68549706517786
10,1213.3319268483294,828.7,384.6319268483294
11,1096.385780292219,831.6,264.7857802922189
12,920.1431683402745,783.4999999999998,136.64316834027477
13,775.1164530475512,759.9000000000001,15.216453047551113
14,671.3142457989574,764.3999999999999,-93.0857542010425
15,607.1749017968823,762.4999999999999,-155.3250982031176
16,590.3870370692913,784.5999999999998,-194.2129629307085
17,637.1154245215179,834.2000000000004,-197.08457547848252
18,723.6559855747287,901.5000000000001,-177.84401442527144
19,804.5968149821522,961.1999999999999,-156.60318501784775
20,845.831685116051,977.4000000000002,-131.56831488394926
21,878.0456226365553,987.3000000000001,-109.25437736344475
22,926.5571939387672,1018.6999999999997,-92.14280606123248
23,966.2692430939054,1041.8999999999994,-75.630756906094
24,1018.1819062226368,1079.5000000000005,-61.31809377736363
25,0.0,944.1000000000004,-944.1000000000004
26,0.0,915.7000000000002,-915.7000000000002
27,0.0,922.8000000000003,-922.8000000000003
28,0.419388673106389,923.2000000000003,-922.7806113268939
29,1.0321687408994928,910.6000000000004,-909.5678312591009
30,3.058394708675189,892.6999999999999,-889.6416052913247
31,17.571248984263466,913.3000000000001,-895.7287510157366
32,2145.0249554028996,1098.5000000000002,1046.5249554028994
33,1957.8921721084744,1069.7000000000005,888.1921721084739
34,1785.086760913973,1048.3999999999999,736.6867609139731
35,1634.6739289941668,1015.1,619.5739289941667
36,1432.7809205198396,973.6000000000001,459.18092051983945
37,1293.6752475092599,951.7,341.9752475092598
38,1140.7416452049347,941.9000000000002,198.84164520493448
39,1006.3486213352415,909.5000000000002,96.84862133524132
40,995.0429167345341,929.3000000000001,65.74291673453399
41,1009.4554878323129,971.5000000000002,37.955487832312656
42,1044.5868823666794,1014.9,29.68688236667947
43,1051.2450259811205,1023.0000000000001,28.24502598112042
44,1054.552230593506,1025.9999999999998,28.552230593506238
45,1066.7579026642825,1038.8999999999994,27.857902664283074
46,1069.8145988808333,1041.5999999999995,28.21459888083382
47,1073.5408932551297,1044.0999999999995,29.440893255130277
48,1074.9644793638718,1045.2999999999997,29.664479363872033
49,0.0,874.7999999999996,-874.7999999999996
50,0.0,871.6999999999996,-871.6999999999996
51,0.0,878.2999999999997,-878.2999999999997
52,0.3270983660567126,899.6000000000001,-899.2729016339434
53,0.9623998170028534,910.1000000000003,-909.1376001829974
54,3.5188092899689574,895.9000000000003,-892.3811907100313
55,22.42189933682334,927.1000000000003,-904.6781006631769
56,2164.818791426605,1081.9000000000003,1082.9187914266047
57,1987.7977870175312,1072.4000000000005,915.3977870175306
58,1839.0122740332395,1077.9000000000005,761.1122740332389
59,1684.2106238342294,1048.6,635.6106238342295
60,1507.4282027433808,1039.7999999999993,467.6282027433815
61,1306.7584114859756,995.8,310.9584114859756
62,1139.911181225378,972.1000000000001,167.81118122537782
63,1020.8704468978863,953.5000000000001,67.37044689788615
64,961.2431623747577,949.9000000000002,11.343162374757526
65,958.0983830745475,961.4999999999999,-3.4016169254523447
66,994.2054676831307,998.6999999999999,-4.494532316869254
67,1029.3786748720372,1033.1999999999996,-3.821325127962382
68,1057.6225772423425,1057.9000000000003,-0.2774227576578596
69,1093.350184030517,1090.3,3.05018403051713
70,1122.8735145074688,1113.9999999999998,8.873514507469054
71,1150.8275928744372,1136.3999999999999,14.427592874437323
72,1173.5862114358094,1152.2999999999997,21.28621143580972
73,0.0,995.4999999999999,-995.4999999999999
74,0.0,995.9,-995.9
75,0.1263844900725099,985.6000000000003,-985.4736155099278
76,0.7986837288858427,993.1999999999999,-992.4013162711141
77,3.8606114055909586,990.7999999999998,-986.9393885944089
78,22.879831056077556,985.0000000000002,-962.1201689439226
79,65.66147810891977,961.1999999999999,-895.5385218910801
80,2292.808880230601,1094.2000000000005,1198.6088802306006
81,2078.681484710024,1061.9000000000003,1016.7814847100237
82,1854.228163640483,1007.8999999999999,846.3281636404831
83,1595.057375158308,915.6000000000001,679.457375158308
84,1339.0356319435257,844.8,494.23563194352573
85,1108.3179055854002,780.0999999999999,328.21790558540033
86,940.104070110905,754.8000000000003,185.30407011090472
87,841.2684142926008,762.6999999999997,78.56841429260112
88,789.3104819677708,757.4000000000001,31.910481967770693
89,764.5594131041553,770.6,-6.04058689584474
90,763.8379614559146,779.0,-15.162038544085362
91,756.2937523240352,776.0,-19.706247675964846
92,734.4112424009984,757.5,-23.08875759900161
93,750.8263516995823,781.1999999999998,-30.37364830041747
94,760.5173602278642,794.1000000000001,-33.58263977213596
95,765.8376590020226,802.6000000000004,-36.76234099797773
96,766.9047732443433,805.0000000000006,-38.09522675565722
97,0.0,633.5,-633.5
98,0.0,641.4999999999999,-641.4999999999999
99,0.0,675.2000000000002,-675.2000000000002
100,0.0,695.3999999999999,-695.3999999999999
101,0.0,719.2999999999997,-719.2999999999997
102,0.25698598272755,731.9999999999995,-731.743014017272
103,0.6853406507104242,764.1999999999998,-763.5146593492894
104,1701.9957687325236,944.7000000000005,757.2957687325231
105,1597.3389512550816,965.4000000000002,631.9389512550814
106,1484.1303746771762,962.1,522.0303746771762
107,1388.4919320386318,978.3000000000002,410.19193203863165
108,1304.8539883615913,987.1000000000001,317.75398836159115
109,1230.1789403499001,989.9999999999998,240.17894034990036
110,1179.9084657822352,1013.8,166.10846578223527
111,1170.5902547334847,1066.4000000000008,104.19025473348393
112,1134.5314821016566,1061.1000000000004,73.43148210165623
113,1161.826941476138,1108.8000000000002,53.026941476137836
114,1205.8087256055508,1156.3,49.50872560555081
115,1215.5083349554898,1164.1999999999994,51.30833495549041
116,1199.7371156278114,1141.8,57.93711562781141
117,1229.1812276806247,1172.7,56.48122768062467
118,1271.9133110141067,1216.2999999999995,55.61331101410724
119,1323.9325493963079,1268.6999999999994,55.232549396308514
120,1338.407099767462,1274.1999999999996,64.2070997674623
121,0.0,1134.3,-1134.3
122,0.0,1136.1999999999998,-1136.1999999999998
123,0.6757388069311102,1107.2000000000003,-1106.5242611930692
124,6.3950466123035445,1104.3000000000002,-1097.9049533876967
125,29.20554977652168,1050.2,-1020.9944502234783
126,84.08892743135333,1012.1999999999998,-928.1110725686465
127,187.46614694714216,998.1,-810.6338530528578
128,2484.62062333317,1158.9999999999995,1325.6206233331704
129,2267.21533768042,1142.1,1125.11533768042
130,2045.1291831548951,1098.8000000000004,946.3291831548947
131,1787.84643546733,1034.7999999999993,753.0464354673306
132,1540.036250976278,979.7000000000002,560.3362509762779
133,1284.0196501063358,902.3000000000002,381.7196501063356
134,1072.2550116004227,844.4,227.8550116004227
135,929.982128492367,817.5999999999998,112.3821284923672
136,815.2248018836372,779.5999999999999,35.62480188363725
137,777.6898494799657,780.2999999999998,-2.6101505200341535
138,792.263772938607,804.9000000000007,-12.636227061393697
139,758.800231396085,772.1999999999999,-13.399768603914936
140,749.1892715194657,767.6000000000003,-18.410728480534544
141,750.4138529446,775.0,-24.586147055400033
142,745.628284092703,774.3000000000001,-28.671715907297084
143,742.875231456136,775.0,-32.12476854386398
144,736.8565158256137,771.6000000000001,-34.74348417438648
145,0.0,588.7000000000002,-588.7000000000002
146,0.0,606.7999999999998,-606.7999999999998
147,0.0,611.2,-611.2
148,0.0,621.8,-621.8
149,0.0,652.2999999999998,-652.2999999999998
150,0.0,637.1,-637.1
151,0.2832318181956518,641.1999999999999,-640.9167681818043
152,1499.2818669586582,827.6000000000001,671.681866958658
153,1372.4661964345028,813.5,558.9661964345028
154,1206.5728748917904,761.3,445.2728748917905
155,1055.4954628712223,741.1999999999998,314.2954628712225
156,890.7832957755552,704.0999999999999,186.68329577555528
157,728.4480510962846,675.7000000000003,52.74805109628437
158,553.0499401626566,618.0999999999999,-65.05005983734327
159,437.9462257534023,595.1000000000003,-157.15377424659795
160,385.60870615968923,590.4000000000001,-204.79129384031086
161,427.01563959137764,646.8,-219.78436040862232
162,479.1005069940759,681.8000000000002,-202.6994930059243
163,546.6537464328659,735.4999999999997,-188.84625356713377
164,575.2045104157469,744.2999999999998,-169.09548958425296
165,631.218450428875,787.1999999999998,-155.9815495711248
166,655.9737185384819,795.3000000000002,-139.3262814615183
167,717.3487923810138,847.3000000000001,-129.95120761898625
168,743.4776839758905,858.4999999999997,-115.02231602410916
169,0.0,705.4999999999997,-705.4999999999997
170,0.0,698.9999999999999,-698.9999999999999
171,0.0,706.9999999999997,-706.9999999999997
172,0.0,675.2000000000002,-675.2000000000002
173,0.0,665.6,-665.6
174,0.1240233697900585,632.1,-631.97597663021
175,0.4607889019733258,631.5000000000001,-631.0392110980268
176,1481.8234811593104,789.6999999999999,692.1234811593105
177,1358.7012950983217,786.3999999999999,572.3012950983218
178,1234.1480165210817,768.7,465.4480165210816
179,1106.4977488613292,725.8999999999997,380.5977488613295
180,987.6959430386288,688.2999999999998,299.39594303862896
181,906.6764728862047,702.9000000000001,203.7764728862046
182,824.808967968227,682.4000000000001,142.40896796822688
183,784.8796293874208,699.2999999999998,85.57962938742094
184,740.3972246856744,694.9,45.49722468567438
185,704.6310613603978,687.1999999999999,17.431061360397848
186,696.0123346707321,695.3999999999999,0.6123346707322526
