hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1,571.033119232388,787.8999999999997,-216.86688076761175
2,612.2082804887287,805.3000000000005,-193.09171951127178
3,667.2653925483041,838.0999999999999,-170.83460745169577
4,678.5282831874714,826.6000000000001,-148.07171681252873
5,708.2213722487751,837.0,-128.77862775122492
6,728.8115589727205,839.4,-110.58844102727949
7,731.7991908163929,826.3000000000002,-94.50080918360732
8,739.890959364674,819.8999999999999,-80.00904063532585
9,757.1290350109361,825.2000000000002,-68.07096498906401
10,702.1791071245907,777.8000000000001,-75.62089287540937
11,675.6688447510825,781.2999999999998,-105.63115524891737
12,584.3011151295221,735.8999999999996,-151.5988848704775
13,516.0563766256191,712.0999999999999,-196.0436233743808
14,476.1010980257476,717.6999999999999,-241.59890197425233
15,458.9473612972105,715.3,-256.3526387027895
16,472.650616313111,737.4999999999997,-264.84938368688864
17,535.7960543696023,782.5999999999997,-246.80394563039738
18,626.4740357682476,845.8000000000001,-219.32596423175244
19,707.3199905775392,902.1000000000001,-194.78000942246092
20,749.1950084117934,916.9000000000002,-167.70499158820678
21,783.225113135547,926.2000000000002,-142.9748868644532
22,834.1958451483848,954.8,-120.60415485161514
23,876.629843458821,977.5000000000002,-100.8701565411792
24,931.3221010297408,1013.1999999999999,-81.87789897025914
25,981.8061623346666,1045.4999999999995,-63.69383766533292
26,976.7478776144948,1018.6999999999997,-41.952122385504936
27,999.1597576723208,1025.2999999999997,-26.140242327678948
28,1014.5064571042808,1025.8999999999996,-11.393542895718838
29,1016.6236947757164,1014.1999999999999,2.4236947757165126
30,1012.5975517517664,997.2,15.3975517517664
31,1040.4400279407166,1016.5999999999999,23.84002794071671
32,1062.6121657765027,1029.6999999999996,32.912165776503116
33,1046.0769359926376,1003.0000000000001,43.07693599263746
34,1019.9298475357716,984.4000000000002,35.52984753577141
35,994.0058459435415,952.1000000000001,41.90584594354141
36,905.4995051891466,913.3000000000001,-7.800494810853479
37,867.5182703604968,893.4000000000001,-25.881729639503305
38,801.0573018735046,883.4000000000002,-82.34269812649563
39,741.8881277024146,853.5000000000002,-111.61187229758559
40,778.9612039124008,872.6999999999996,-93.73879608759876
41,822.9006765412128,911.1000000000004,-88.1993234587876
42,880.353684322801,951.7,-71.34631567719907
43,903.9144615324816,958.9999999999999,-55.08553846751829
44,922.2728837529036,962.2,-39.92711624709648
45,947.8092781323786,975.0000000000002,-27.19072186762162
46,962.692653774084,976.9000000000003,-14.207346225916353
47,977.0453650015376,979.3000000000002,-2.2546349984626204
48,988.0339627435268,980.1000000000001,7.933962743526649
49,997.1651667098104,979.6000000000001,17.565166709810228
50,1003.3891723481404,977.4000000000002,25.989172348140187
51,1017.2562319411268,984.2000000000002,33.05623194112661
52,1043.0900117602614,1004.1000000000001,38.99001176026127
53,1058.6278240678168,1013.0999999999999,45.52782406781694
54,1053.508321531543,999.6999999999999,53.80832153154313
55,1087.3036055028483,1029.3999999999996,57.90360550284868
