hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1,0.0,1847.1000000000008,-1847.1000000000008
2,0.0,1896.4,-1896.4
3,0.0,1994.5000000000007,-1994.5000000000007
4,0.0,1958.8000000000002,-1958.8000000000002
5,0.2511787958445913,1991.0000000000005,-1990.7488212041558
6,1.1016642790338214,1998.7000000000003,-1997.5983357209664
7,4.249200637670776,1958.3000000000002,-1954.0507993623294
8,1941.2989402017845,2408.999999999999,-467.7010597982146
9,1968.1171272276456,2425.0,-456.8828727723544
10,1902.700140126113,2285.6000000000004,-382.8998598738874
11,1872.6659077071972,2294.4999999999995,-421.8340922928023
12,1762.5870611719968,2160.6999999999994,-398.1129388280026
13,1680.9513159744304,2094.9999999999986,-414.04868402556826
14,1633.1490099567404,2108.4999999999995,-475.3509900432591
15,1613.9426845400717,2101.899999999999,-487.9573154599275
16,1629.3743242622982,2164.4999999999986,-535.1256757377005
17,1708.1382415145572,2299.9,-591.7617584854429
18,1822.3942461570175,2484.2999999999993,-661.9057538429818
19,1927.601010928848,2649.900000000002,-722.298989071154
20,1988.3680620848247,2694.099999999999,-705.7319379151743
21,2040.617550145581,2720.599999999998,-679.9824498544172
22,2115.4746735485837,2807.9000000000005,-692.4253264514168
23,2181.841190687748,2872.499999999999,-690.6588093122509
24,2265.499374640905,2977.2000000000003,-711.7006253590953
25,112.31024612620698,2602.0,-2489.689753873793
26,228.1935790224869,2524.7,-2296.506420977513
27,383.9356185443127,2543.599999999998,-2159.6643814556855
28,536.3426866574728,2545.2999999999993,-2008.9573133425265
29,665.3844452775804,2510.4999999999995,-1845.1155547224191
30,775.6588422300413,2461.400000000001,-1685.7411577699597
31,914.7996396956838,2518.7,-1603.900360304316
32,3361.348396747251,3027.2000000000003,334.1483967472509
33,3283.968407706232,2947.199999999999,336.7684077062331
34,3196.835333071615,2892.100000000001,304.73533307161415
35,3115.358862073116,2798.099999999999,317.25886207311714
36,2952.98566866157,2684.2000000000003,268.7856686615696
37,2864.337208162912,2624.999999999999,239.3372081629127
38,2736.5069232212427,2596.8,139.7069232212425
39,2625.6528306255223,2505.7999999999997,119.85283062552253
40,2635.27201827978,2564.2000000000003,71.07201827977951
41,2650.166348310516,2677.3,-27.133651689484395
42,2689.6147179715244,2797.4999999999995,-107.8852820284751
43,2690.675189622671,2819.2000000000007,-128.5248103773297
44,2688.6033102988176,2828.1,-139.49668970118228
45,2698.614751008319,2864.0,-165.38524899168078
46,2698.314536751602,2869.7999999999993,-171.48546324839708
47,2699.492999585036,2877.8999999999987,-178.40700041496257
48,2698.3597262917465,2880.199999999999,-181.84027370825243
49,388.4687783454178,2409.899999999999,-2021.4312216545813
50,530.4720236323454,2403.4000000000005,-1872.927976367655
51,670.8210317200299,2422.6,-1751.77896827997
52,818.8401778255912,2480.8,-1661.959822174409
53,947.6031504743928,2508.1999999999994,-1560.5968495256066
54,1041.9909097218342,2470.0000000000023,-1428.009090278168
55,1177.0988318910515,2557.4999999999995,-1380.401168108948
56,3572.0071678253066,2983.5999999999995,588.4071678253072
57,3494.8596821395527,2954.7999999999997,540.0596821395529
58,3426.233812218356,2973.0999999999995,453.1338122183565
59,3330.1815209498245,2892.800000000001,437.3815209498234
60,3194.328197328273,2866.2,328.128197328273
61,3030.3192730611954,2745.1000000000004,285.21927306119505
62,2891.3483177881817,2679.4,211.9483177881816
63,2790.050775844229,2629.899999999999,160.15077584422988
64,2734.8630545032406,2619.7,115.1630545032408
65,2725.0836981535954,2650.500000000002,74.58369815359356
66,2749.394757737526,2754.400000000001,-5.005242262474894
67,2772.16021870405,2849.2000000000016,-77.0397812959518
68,2790.3789316539164,2916.2000000000007,-125.8210683460843
69,2821.5629414819227,3004.599999999999,-183.03705851807626
70,2848.543929102236,3071.9000000000015,-223.35607089776568
71,2876.534720572417,3133.0000000000005,-256.4652794275835
72,2900.5975604875443,3177.2999999999997,-276.7024395124554
73,606.2302186919385,2744.7000000000003,-2138.469781308062
74,765.4290394682325,2745.5000000000005,-1980.070960531768
75,898.6637288066047,2717.1999999999985,-1818.5362711933938
76,1039.3904651154949,2738.699999999999,-1699.309534884504
77,1159.090877913538,2731.899999999998,-1572.8091220864599
78,1263.992318569964,2715.999999999999,-1452.007681430035
79,1338.4782471374904,2649.900000000002,-1311.4217528625115
80,3702.866544948182,3015.3000000000006,687.5665449481812
81,3593.490737849491,2927.6,665.890737849491
82,3440.483884924461,2776.7000000000003,663.7838849244608
83,3224.057612696179,2524.7,699.3576126961793
84,2996.7586594579,2328.4999999999995,668.2586594579006
85,2786.174944585977,2150.3,635.8749445859767
86,2628.753354579939,2078.4,550.3533545799387
87,2534.117590459433,2101.999999999999,432.1175904594338
88,2471.659808515817,2085.8999999999996,385.75980851581744
89,2421.718298736173,2124.399999999999,297.3182987361738
90,2396.314968646543,2146.3000000000015,250.01496864654155
91,2354.968686301169,2139.200000000001,215.7686863011677
92,2297.570931088194,2086.1999999999994,211.37093108819454
93,2289.7317456422606,2152.6000000000004,137.13174564226028
94,2276.6241598107395,2191.800000000001,84.82415981073837
95,2260.627420466817,2212.8,47.827420466816875
96,2241.4428080971625,2217.9000000000005,23.542808097161924
97,26.21705433202294,1747.2999999999984,-1721.0829456679753
98,92.97621416003032,1767.3999999999985,-1674.423785839968
99,214.8528442285414,1860.8999999999996,-1646.0471557714582
100,342.86586636738974,1915.2000000000003,-1572.3341336326105
101,476.28238076316313,1981.8999999999994,-1505.6176192368362
102,592.6429691259084,2017.8999999999994,-1425.257030874091
