rc_building_id,simstadt_building_id,match_type
DEBW_52210003qpi,DEBW_52210003qpi,exact
DEBW_52210003qta,DEBW_52210003qta,exact
DEBW_52210003qwF,DEBW_52210003qwF,exact
DEBW_52210003rFb,DEBW_52210003rFb,exact
DEBW_52210003rIo,DEBW_52210003rIo,exact
DEBW_52210003rgE,DEBW_52210003rgE,exact
DEBW_52210003sTZ,DEBW_52210003sTZ,exact
DEBW_52210003sUv,DEBW_52210003sUv,exact
DEBW_52210003snr,DEBW_52210003snr,exact
DEBW_52210003t47,DEBW_52210003t47,exact
DEBW_52210003t7f,DEBW_52210003t7f,exact
DEBW_52210003tNq,DEBW_52210003tNq,exact
DEBW_52210003tQY,DEBW_52210003tQY,exact
DEBW_52210003u4h,DEBW_52210003u4h,exact
DEBW_52210003uBM,DEBW_52210003uBM,exact
DEBW_52210003uZg,DEBW_52210003uZg,exact
DEBW_52210003udj,DEBW_52210003udj,exact
DEBW_52210003uss,DEBW_52210003uss,exact
DEBW_52210003uzO,DEBW_52210003uzO,exact
DEBW_52210003v4C,DEBW_52210003v4C,exact
DEBW_52210003vBM,DEBW_52210003vBM,exact
DEBW_52210003xIr,DEBW_52210003xIr,exact
DEBW_52210003xN2,DEBW_52210003xN2,exact
DEBW_52210003xXe,DEBW_52210003xXe,exact
DEBW_52210004EqD,DEBW_52210004EqD,exact
DEBW_52210004FOx,DEBW_52210004FOx,exact
DEBW_52210004FT7,DEBW_52210004FT7,exact
DEBW_52210004Faf,DEBW_52210004Faf,exact
DEBW_52210004Fca,DEBW_52210004Fca,exact
DEBW_52210004FnA,DEBW_52210004FnA,exact
DEBW_52210004G6k,DEBW_52210004G6k,exact
DEBW_52210004GDQ,DEBW_52210004GDQ,exact
DEBW_52210004GPg,DEBW_52210004GPg,exact
DEBW_52210004Gqv,DEBW_52210004Gqv,exact
DEBW_52210004H20,DEBW_52210004H20,exact
DEBW_52210004HIN,DEBW_52210004HIN,exact
DEBW_52210004HiD,DEBW_52210004HiD,exact
DEBW_52210004Hls,DEBW_52210004Hls,exact
DEBW_52210004HpC,DEBW_52210004HpC,exact
DEBW_52210004HrR,DEBW_52210004HrR,exact
