Building ID,season,status,rc_file,sim_file,plot_file,window_start_hour,window_end_hour_exclusive,plotted_hours,window_mode
DEBW_522100051DN,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_522100051DN_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_522100051DN_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_522100051DN_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_522100051DN,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_522100051DN_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_522100051DN_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_522100051DN_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_522100051DN,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_522100051DN_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_522100051DN_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_522100051DN_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210004zE4,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004zE4_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004zE4_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004zE4_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210004zE4,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004zE4_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004zE4_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004zE4_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210004zE4,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004zE4_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004zE4_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004zE4_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210005PFV,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005PFV_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005PFV_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005PFV_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210005PFV,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005PFV_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005PFV_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005PFV_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210005PFV,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005PFV_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005PFV_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005PFV_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210003qwF,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210003qwF_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210003qwF_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210003qwF_winter_14day_hourly_comparison.png,648,984,336,manual-date
