Building ID,usage_type,annual_heat_kwh,heated_area_m2,heated_volume_m3,window_area_m2,window_to_heated,window_to_wall,u_walls_w_m2k,u_windows_w_m2k,compactness,centrality_score
DEBW_522100051DN,residential,15422.031432293154,163.8,511.8,39.17,0.23913308913308912,0.2107386883305536,0.7101623299116734,2.5700000000000007,1.8621973929236497,0.4719864584810742
DEBW_52210004zE4,residential,19378.458891129558,213.3,666.4,50.05,0.23464603844350676,0.2179403440017417,0.6909706480674223,2.57,1.8518518518518516,0.30541374285742895
DEBW_52210005PFV,residential,21841.025506749036,220.9,690.4,52.09,0.2358080579447714,0.2116533257486489,0.7075084030608595,2.57,1.8726591760299625,0.2651249520390487
DEBW_52210003qwF,residential,24435.537966465417,260.9,815.3,61.400000000000006,0.23533921042545042,0.215415921131109,0.6974920008372956,2.57,1.858736059479554,0.16404033677587718
DEBW_52210004IuQ,residential,27922.163999424152,311.8,974.2,71.56000000000002,0.22950609364977553,0.2214657093339935,0.6824562195795072,2.5699999999999994,1.8691588785046729,0.04701276204697725
DEBW_52210005eg5,residential,28916.239445561045,310.4,970.0,74.52000000000001,0.24007731958762893,0.209744152664021,0.7131841448347158,2.5699999999999994,1.8656716417910446,0.09861574329172612
DEBW_52210005LZh,residential,30591.847108180787,313.7,980.2,75.4,0.24035702900860698,0.2121493486395993,0.7061984612349576,2.57,1.8656716417910446,0.1520227244415756
DEBW_52210004HiD,residential,35891.108021462314,400.2,1250.6,92.16,0.2302848575712144,0.2104878494427188,0.7109607022392004,2.57,1.858736059479554,0.2411843716793933
DEBW_52210005K93,residential,37749.520543046936,426.0,1331.4,98.3,0.23075117370892018,0.2113387655064176,0.7084816853292846,2.57,1.824817518248175,0.3211891019710973
DEBW_52210004Ihn,residential,49262.13829081848,527.7,1649.0,121.92,0.23104036384309265,0.2106354307038457,0.7103970604028906,2.57,1.9267822736030829,0.7390092231431007
