hour,simstadt_heating_demand_kwh_h
1,2169.9999999999986
2,2215.7000000000003
3,2306.000000000001
4,2273.5000000000014
5,2302.4000000000015
6,2309.7000000000003
7,2271.700000000001
8,2256.1999999999994
9,2270.4000000000015
10,2140.9000000000015
11,2150.3000000000006
12,2026.9000000000003
13,1965.599999999999
14,1977.8999999999994
15,1972.3999999999992
16,2031.3000000000002
17,2156.2999999999993
18,2329.2999999999993
19,2482.6000000000004
20,2523.7000000000003
21,2548.7999999999993
22,2628.7999999999993
23,2689.9
24,2786.3000000000006
25,2872.499999999999
26,2800.6
27,2818.900000000002
28,2820.4000000000015
29,2787.9
30,2742.7999999999993
31,2795.3999999999996
32,2833.1000000000004
33,2758.4000000000024
34,2706.499999999999
35,2618.8999999999996
36,2511.7
37,2455.8000000000006
38,2428.1000000000004
39,2344.2999999999997
40,2399.100000000001
41,2504.8999999999996
42,2617.9999999999995
43,2637.5999999999995
44,2646.7000000000016
45,2680.4
46,2686.2
47,2693.299999999999
48,2695.199999999999
49,2693.7999999999984
50,2687.6
51,2705.299999999999
52,2759.800000000002
53,2785.900000000001
54,2749.6000000000004
55,2831.6999999999994
56,2791.5
57,2765.2000000000003
58,2782.8
59,2708.5999999999985
60,2684.7999999999993
61,2570.6
62,2509.8999999999996
63,2464.4000000000015
64,2453.8000000000006
65,2482.4000000000005
66,2580.0999999999995
67,2667.2000000000016
68,2729.8999999999987
69,2812.300000000001
70,2875.3999999999987
71,2931.9999999999986
72,2973.2999999999997
73,3005.6999999999994
74,3007.0000000000005
75,2980.4999999999995
76,3000.2999999999984
77,2995.0999999999985
78,2978.8
79,2918.000000000002
80,2821.800000000001
81,2740.0999999999985
82,2600.2
83,2364.600000000001
84,2181.4
85,2015.2999999999993
86,1948.8
87,1970.8999999999992
88,1955.6000000000001
89,1991.1
90,2011.1000000000001
91,2003.9999999999995
92,1955.0000000000002
93,2017.0999999999995
94,2053.300000000001
95,2072.6000000000004
96,2077.8
97,2074.9
98,2093.699999999999
99,2181.2
100,2232.7999999999997
101,2294.8999999999996
102,2329.099999999999
103,2410.8999999999987
104,2440.4
105,2490.1999999999994
106,2481.5000000000005
107,2523.9
108,2544.499999999999
109,2552.399999999999
110,2611.599999999999
111,2747.2000000000003
112,2734.499999999999
113,2858.0000000000005
114,2981.4999999999995
115,2999.899999999998
116,2943.699999999998
117,3023.700000000001
118,3136.8000000000015
119,3269.499999999998
120,3288.5000000000014
121,3363.199999999999
122,3367.299999999999
123,3292.3000000000006
124,3284.700000000002
125,3145.400000000001
126,3046.500000000002
127,3009.4000000000005
128,2986.499999999998
129,2944.599999999998
130,2835.3999999999996
131,2675.9000000000005
132,2539.199999999999
133,2343.299999999999
134,2197.600000000001
135,2131.0999999999995
136,2031.3000000000002
137,2030.7000000000005
138,2089.899999999999
139,2003.6999999999996
140,1991.1
141,2008.0000000000002
142,2003.3999999999994
143,2004.8999999999996
144,1995.3000000000004
145,1961.1999999999994
146,2006.3000000000002
147,2018.0999999999997
148,2048.4000000000005
149,2127.2999999999993
150,2084.5000000000005
151,2094.8999999999987
152,2139.5000000000014
153,2103.5999999999995
154,1966.299999999999
155,1912.3000000000006
156,1811.8999999999999
157,1737.3999999999996
158,1586.1999999999987
159,1527.7000000000012
160,1518.7000000000007
161,1662.0000000000007
162,1755.4999999999986
163,1893.6
164,1919.4000000000003
165,2030.6000000000006
166,2051.800000000001
167,2185.0
168,2214.7
169,2259.6999999999994
170,2243.199999999999
171,2264.2999999999993
172,2181.4
173,2155.3999999999987
174,2071.8
175,2070.1
176,2041.1000000000006
177,2032.0000000000005
178,1985.8999999999996
179,1875.4999999999998
180,1779.0999999999992
181,1815.5000000000002
182,1766.0999999999985
183,1810.6
184,1796.400000000001
185,1776.6999999999991
186,1796.7000000000012
187,1844.7000000000003
188,1740.2999999999993
189,1679.4000000000003
190,1674.4000000000003
191,1596.3999999999992
192,1536.1000000000008
193,1442.8000000000006
194,1449.1000000000004
