hour,simstadt_heating_demand_kwh_h
1,669.7
2,688.0999999999999
3,723.4999999999999
4,710.1999999999998
5,722.1999999999998
6,724.8999999999996
7,709.9999999999999
8,873.8999999999996
9,878.6999999999997
10,828.7
11,831.6
12,783.4999999999998
13,759.9000000000001
14,764.3999999999999
15,762.4999999999999
16,784.5999999999998
17,834.2000000000004
18,901.5000000000001
19,961.1999999999999
20,977.4000000000002
21,987.3000000000001
22,1018.6999999999997
23,1041.8999999999994
24,1079.5000000000005
25,944.1000000000004
26,915.7000000000002
27,922.8000000000003
28,923.2000000000003
29,910.6000000000004
30,892.6999999999999
31,913.3000000000001
32,1098.5000000000002
33,1069.7000000000005
34,1048.3999999999999
35,1015.1
36,973.6000000000001
37,951.7
38,941.9000000000002
39,909.5000000000002
40,929.3000000000001
41,971.5000000000002
42,1014.9
43,1023.0000000000001
44,1025.9999999999998
45,1038.8999999999994
46,1041.5999999999995
47,1044.0999999999995
48,1045.2999999999997
49,874.7999999999996
50,871.6999999999996
51,878.2999999999997
52,899.6000000000001
53,910.1000000000003
54,895.9000000000003
55,927.1000000000003
56,1081.9000000000003
57,1072.4000000000005
58,1077.9000000000005
59,1048.6
60,1039.7999999999993
61,995.8
62,972.1000000000001
63,953.5000000000001
64,949.9000000000002
65,961.4999999999999
66,998.6999999999999
67,1033.1999999999996
68,1057.9000000000003
69,1090.3
70,1113.9999999999998
71,1136.3999999999999
72,1152.2999999999997
73,995.4999999999999
74,995.9
75,985.6000000000003
76,993.1999999999999
77,990.7999999999998
78,985.0000000000002
79,961.1999999999999
80,1094.2000000000005
81,1061.9000000000003
82,1007.8999999999999
83,915.6000000000001
84,844.8
85,780.0999999999999
86,754.8000000000003
87,762.6999999999997
88,757.4000000000001
89,770.6
90,779.0
91,776.0
92,757.5
93,781.1999999999998
94,794.1000000000001
95,802.6000000000004
96,805.0000000000006
97,633.5
98,641.4999999999999
99,675.2000000000002
100,695.3999999999999
101,719.2999999999997
102,731.9999999999995
103,764.1999999999998
104,944.7000000000005
105,965.4000000000002
106,962.1
107,978.3000000000002
108,987.1000000000001
109,989.9999999999998
110,1013.8
111,1066.4000000000008
112,1061.1000000000004
113,1108.8000000000002
114,1156.3
115,1164.1999999999994
116,1141.8
117,1172.7
118,1216.2999999999995
119,1268.6999999999994
120,1274.1999999999996
121,1134.3
122,1136.1999999999998
123,1107.2000000000003
124,1104.3000000000002
125,1050.2
126,1012.1999999999998
127,998.1
128,1158.9999999999995
129,1142.1
130,1098.8000000000004
131,1034.7999999999993
132,979.7000000000002
133,902.3000000000002
134,844.4
135,817.5999999999998
136,779.5999999999999
137,780.2999999999998
138,804.9000000000007
139,772.1999999999999
140,767.6000000000003
141,775.0
142,774.3000000000001
143,775.0
144,771.6000000000001
145,588.7000000000002
146,606.7999999999998
147,611.2
148,621.8
149,652.2999999999998
150,637.1
151,641.1999999999999
152,827.6000000000001
153,813.5
154,761.3
155,741.1999999999998
156,704.0999999999999
157,675.7000000000003
158,618.0999999999999
159,595.1000000000003
160,590.4000000000001
161,646.8
162,681.8000000000002
163,735.4999999999997
164,744.2999999999998
165,787.1999999999998
166,795.3000000000002
167,847.3000000000001
168,858.4999999999997
169,705.4999999999997
170,698.9999999999999
171,706.9999999999997
172,675.2000000000002
173,665.6
174,632.1
175,631.5000000000001
176,789.6999999999999
177,786.3999999999999
178,768.7
179,725.8999999999997
180,688.2999999999998
181,702.9000000000001
182,682.4000000000001
183,699.2999999999998
184,694.9
185,687.1999999999999
186,695.3999999999999
187,712.3
188,672.8000000000002
189,648.7999999999998
190,647.4
191,617.3000000000001
192,593.3000000000003
193,388.20000000000005
194,389.80000000000007
195,411.9000000000001
196,417.6999999999999
197,393.6000000000001
198,363.89999999999986
199,389.80000000000007
200,553.2
201,566.3999999999996
202,524.2
203,516.8
204,525.2
205,515.1999999999998
206,471.8000000000001
207,429.1999999999997
208,417.6999999999999
209,423.4999999999997
210,411.5000000000001
211,415.79999999999995
212,419.4999999999999
213,413.0
214,414.4
215,405.2000000000001
216,378.7000000000003
217,218.7
218,234.20000000000016
219,251.49999999999994
220,271.79999999999995
221,294.60000000000025
222,318.6000000000001
223,349.79999999999984
224,529.4000000000001
225,526.9000000000001
226,540.5999999999999
227,542.7
228,530.6
229,516.6999999999999
230,525.7
231,516.2999999999998
232,566.1999999999997
233,602.1
234,649.9999999999999
235,653.1999999999998
236,690.3999999999997
237,739.2999999999997
238,797.3000000000002
239,840.0
240,870.8999999999995
241,731.9999999999995
242,733.9999999999995
243,734.9999999999995
244,737.9999999999998
245,732.1999999999996
246,725.8999999999997
247,722.3999999999999
248,876.3999999999997
249,890.3000000000002
250,850.6000000000004
251,852.8000000000003
252,781.2999999999998
253,764.3999999999999
254,710.8999999999999
255,723.0999999999999
256,747.6
257,812.4000000000001
258,807.4000000000007
259,821.0999999999999
260,856.6999999999997
261,876.4999999999998
262,907.1999999999999
263,903.6000000000001
264,910.4000000000003
265,741.0999999999998
266,757.7
267,752.0000000000002
268,747.1
269,728.3999999999996
270,742.6999999999997
271,731.6999999999996
272,911.2000000000003
273,914.1
274,884.6000000000001
275,855.8
276,803.6000000000005
277,762.2999999999998
278,735.7999999999996
279,712.6
280,715.1999999999999
281,706.0999999999998
282,722.1999999999998
283,726.6999999999996
284,723.4999999999999
285,753.5000000000003
286,758.2
287,758.0
288,769.2
289,570.7999999999998
290,570.7999999999998
291,567.0999999999997
292,565.7999999999997
293,577.2
294,583.5000000000001
295,565.6999999999997
296,735.3999999999996
297,731.8999999999995
298,730.4999999999995
299,689.4999999999999
300,666.2
301,633.7
302,621.1999999999999
303,614.3000000000001
304,589.5000000000001
305,621.5999999999999
306,613.3000000000002
307,620.9999999999999
308,630.7
309,637.9000000000002
310,678.5000000000002
311,672.8000000000002
312,687.4999999999999
313,527.7
314,521.6000000000001
315,523.2000000000002
316,501.9
317,488.4000000000003
318,477.50000000000017
319,491.9000000000002
320,670.4000000000002
321,677.9000000000004
322,665.6
323,652.6999999999999
324,666.2
325,640.3999999999999
326,622.9999999999999
327,581.6000000000001
328,552.4000000000001
329,582.2000000000002
330,588.7000000000002
331,615.2
332,628.1999999999999
333,633.8000000000001
334,637.4000000000001
335,653.8999999999999
336,639.2
337,477.2000000000001
338,490.5000000000003
339,509.09999999999957
340,535.1
341,544.8999999999999
342,544.8999999999999
343,545.0999999999998
344,744.3999999999999
345,753.5000000000003
346,768.9
347,742.2999999999997
348,726.5999999999996
349,719.2999999999997
350,741.3999999999999
351,745.2999999999998
352,753.5000000000003
353,776.4
354,803.7000000000005
355,810.0
356,841.0999999999999
357,836.0000000000002
358,861.6999999999995
359,858.4999999999997
360,838.0999999999999
361,661.9999999999998
362,676.9000000000003
363,698.8999999999999
364,689.1999999999998
365,680.0000000000002
366,717.5
367,725.8999999999997
368,905.3000000000002
369,899.2000000000002
370,909.4000000000002
371,847.4000000000001
372,828.7
373,808.3000000000006
374,788.0999999999998
375,799.6000000000003
376,835.7000000000002
377,894.2
378,935.5999999999999
379,959.9
380,977.7000000000002
381,994.7
382,1036.3999999999996
383,1075.7000000000005
