hour,trnsys_heating_demand_kwh_h,trnsys_cooling_demand_kwh_h
1,6.551777755976865,0.0
2,6.893350399016942,0.0
3,7.179367293653477,0.0
4,7.527601199787604,0.0
5,7.951413197029824,0.0
6,8.500797855418092,0.0
7,9.076272289823091,0.0
8,9.631389599737224,0.0
9,10.074188487429685,0.0
10,9.984692321225012,0.0
11,9.948959029578505,0.0
12,10.227468635869139,0.0
13,10.399986775701942,0.0
14,10.764468726378304,0.0
15,11.310128669229572,0.0
16,11.999498073735426,0.0
17,12.737598798064628,0.0
18,13.213584200625288,0.0
19,13.508144982890355,0.0
20,13.629123169198492,0.0
21,13.692582643039334,0.0
22,13.752959903503022,0.0
23,13.93769128452111,0.0
24,14.297085962396327,0.0
25,14.672282315362159,0.0
26,14.96712780483987,0.0
27,15.171368310402888,0.0
28,15.355988711827433,0.0
29,15.533322963990399,0.0
30,15.71496128167936,0.0
31,15.969568712609211,0.0
32,16.300291164881052,0.0
33,16.579767112388016,0.0
34,16.62502128801336,0.0
35,16.55405062398848,0.0
36,16.415653852724088,0.0
37,16.3126614461095,0.0
38,16.311109126632978,0.0
39,16.419913150794432,0.0
40,16.640928184541366,0.0
41,17.00401261831106,0.0
42,17.231784355010767,0.0
43,17.389917988453746,0.0
44,17.53537260082949,0.0
45,17.72295813246941,0.0
46,17.939443231352186,0.0
47,18.223610698997824,0.0
48,18.590797423226327,0.0
49,18.97621674184876,0.0
50,19.358497668433202,0.0
51,19.66816325391063,0.0
52,19.908587024295194,0.0
53,20.181223051148365,0.0
54,20.54517488265023,0.0
55,20.912548088852773,0.0
56,21.243591335429144,0.0
57,20.68258251465144,0.0
58,16.323110617976475,0.0
59,14.468836714295369,0.0
60,12.960690024073006,0.0
61,12.740002976788341,0.0
62,11.533181941630108,0.0
63,10.585142937834025,0.0
64,11.652924975159943,0.0
65,15.646402224816068,0.0
66,16.805439959497008,0.0
67,17.440128261014557,0.0
68,17.868791017324096,0.0
69,18.28155991959545,0.0
70,18.700694943929996,0.0
71,19.193640027494062,0.0
72,19.698289503093118,0.0
73,20.20080769613638,0.0
74,20.66346183246342,0.0
75,20.993816439836987,0.0
76,21.326565954845137,0.0
77,21.663244892465993,0.0
78,22.026561009741997,0.0
79,22.393461543747474,0.0
80,22.73995027369775,0.0
81,21.597847676369657,0.0
82,18.101170616211338,0.0
83,16.01030251628459,0.0
84,15.62751439289307,0.0
85,15.036428166812993,0.0
86,13.903632795829488,0.0
87,12.434703000261337,0.0
88,12.83254855179682,0.0
89,15.92760116637816,0.0
90,17.996856174480957,0.0
91,19.000377321468275,0.0
92,19.816962368500512,0.0
93,20.501942350178012,0.0
94,21.110451947391475,0.0
95,21.5414661032417,0.0
96,21.90429535038722,0.0
97,22.261908544308355,0.0
98,22.758596959348836,0.0
99,23.331361633718593,0.0
100,23.85922704162162,0.0
101,24.15862709973682,0.0
102,24.220390953419216,0.0
103,24.21757569268755,0.0
104,24.271893405438604,0.0
105,24.279072961249938,0.0
106,23.010141982621153,0.0
107,22.417431723887937,0.0
108,21.92418674931699,0.0
109,19.369512949582784,0.0
110,19.473673018835015,0.0
111,19.97826132072084,0.0
112,21.520204685220815,0.0
113,22.66770542553617,0.0
114,23.193436911747767,0.0
115,23.498767461905313,0.0
116,23.82132054086877,0.0
117,24.199120745471305,0.0
118,24.55719770553746,0.0
119,24.79154075828312,0.0
120,24.951062547895187,0.0
121,25.052630675010743,0.0
122,25.157982064520578,0.0
123,25.277928256962717,0.0
124,25.377373955216093,0.0
125,25.42462659623533,0.0
126,25.37171964879033,0.0
127,25.276467799179663,0.0
128,25.153686154396,0.0
129,24.885635878278656,0.0
130,24.367364225766316,0.0
131,23.70225263300274,0.0
132,23.111079770043816,0.0
133,22.62871076767742,0.0
134,22.376300504589388,0.0
135,22.39067097603887,0.0
136,22.50851428750844,0.0
137,22.577765053952938,0.0
138,22.41165901800952,0.0
139,22.167832779042932,0.0
140,21.97701769425148,0.0
141,21.949221501324782,0.0
142,21.94123024734688,0.0
143,21.887019231921297,0.0
144,21.775119916698994,0.0
145,21.643934670270472,0.0
146,21.54801280795809,0.0
147,21.47184783569217,0.0
148,21.39881535735699,0.0
149,21.329028038418823,0.0
150,21.285120157322783,0.0
151,21.245472113137907,0.0
152,21.18711171305085,0.0
153,21.059072051141083,0.0
154,20.716400160171037,0.0
155,19.955654787585463,0.0
156,19.363960673628092,0.0
157,19.274643913204294,0.0
158,18.73756976721179,0.0
159,18.650546830133145,0.0
160,18.88592174197745,0.0
161,19.3193385871614,0.0
162,19.525623026137726,0.0
163,19.575379797826347,0.0
164,19.421379696482404,0.0
165,19.22770612997592,0.0
166,19.029826418803722,0.0
167,18.91389875719121,0.0
168,18.934636508588017,0.0
169,18.959960203003764,0.0
170,18.94945736026126,0.0
171,18.84530124297919,0.0
172,18.70973626956645,0.0
173,18.57266713557131,0.0
174,18.43369981812621,0.0
175,18.29787790172265,0.0
176,18.262122680263193,0.0
177,18.183177799934693,0.0
178,17.900842279686394,0.0
179,17.21926344052403,0.0
180,16.554630078369076,0.0
181,16.099004400044425,0.0
182,15.882275943385022,0.0
183,16.0115641880332,0.0
184,16.406591964093757,0.0
185,16.592581692497824,0.0
186,16.49895447337332,0.0
187,16.3495641451085,0.0
188,16.442042019440002,0.0
189,16.638179650139985,0.0
190,16.83900766255237,0.0
191,16.88393041268569,0.0
192,16.70284993332206,0.0
193,16.472324095704106,0.0
194,16.26371961103601,0.0
195,16.21319068428875,0.0
196,16.289467100489937,0.0
197,16.396339496028304,0.0
198,16.50810134362831,0.0
199,16.611109051262673,0.0
200,16.675687025169754,0.0
201,16.51934801147494,0.0
202,16.052980893578027,0.0
203,15.834811879460725,0.0
204,15.4780316449814,0.0
205,15.208458420470802,0.0
206,15.043565474622374,0.0
207,15.002027070871943,0.0
208,15.128627854811825,0.0
209,15.413342462002351,0.0
210,15.58603295745442,0.0
211,15.647151448608025,0.0
212,15.668539306346544,0.0
213,15.658465890347482,0.0
214,15.630204139976177,0.0
215,15.652014286469292,0.0
216,15.724763563733779,0.0
217,15.80237480316742,0.0
218,15.819547778527355,0.0
219,15.823106112961687,0.0
220,15.804662117832356,0.0
221,15.786266508619406,0.0
222,15.790539889883082,0.0
223,15.783649546627178,0.0
224,15.707484300372638,0.0
225,15.543384375932444,0.0
226,15.158055905216598,0.0
227,14.71434019518582,0.0
228,14.28626966602246,0.0
229,13.942279107113734,0.0
230,13.77438328488396,0.0
231,13.766733387055154,0.0
232,13.92709554827848,0.0
233,14.207763410407708,0.0
234,14.35784651822924,0.0
235,14.44627635393889,0.0
236,14.570036871976974,0.0
237,14.742906189152238,0.0
238,14.935324812463465,0.0
239,15.108075448610034,0.0
240,15.26239805294664,0.0
241,15.438803092901564,0.0
242,15.692861310500641,0.0
243,15.970158117846385,0.0
244,16.229485955766503,0.0
245,16.252551121648914,0.0
246,16.15191395946061,0.0
247,16.036258237352584,0.0
