rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210003qpi,DEBW_52210003qpi,13389.068275261032,13846.8,-457.7317247389674,-3.305685968880661
DEBW_52210003qta,DEBW_52210003qta,6220.584525049184,6951.099999999999,-730.5154749508156,-10.509350677602331
DEBW_52210003qwF,DEBW_52210003qwF,7133.714362836258,8039.500000000001,-905.7856371637426,-11.26669117686103
DEBW_52210003rFb,DEBW_52210003rFb,11622.060526204124,13301.6,-1679.539473795876,-12.626597355174384
DEBW_52210003rIo,DEBW_52210003rIo,5167.614503591888,6191.0,-1023.385496408112,-16.530213154710257
DEBW_52210003rgE,DEBW_52210003rgE,3833.2501594384908,4192.2,-358.94984056150906,-8.562326238287989
DEBW_52210003sTZ,DEBW_52210003sTZ,6403.637212003161,7343.3,-939.6627879968391,-12.796192284079897
DEBW_52210003sUv,DEBW_52210003sUv,3964.121564235531,4705.1,-740.9784357644694,-15.748409933146359
DEBW_52210003snr,DEBW_52210003snr,7698.837317216081,8569.400000000001,-870.5626827839205,-10.158968921790562
DEBW_52210003t47,DEBW_52210003t47,3224.4224736728584,3030.0,194.42247367285836,6.416583289533278
DEBW_52210003t7f,DEBW_52210003t7f,7998.183631064275,9299.8,-1301.6163689357245,-13.996175927823442
DEBW_52210003tNq,DEBW_52210003tNq,7141.75218614243,8513.2,-1371.4478138575705,-16.10966280432235
DEBW_52210003tQY,DEBW_52210003tQY,9764.835848116883,12952.099999999999,-3187.264151883115,-24.60808789218054
DEBW_52210003u4h,DEBW_52210003u4h,5723.4944472315565,6013.9,-290.40555276844316,-4.828905581543477
DEBW_52210003uBM,DEBW_52210003uBM,15537.736073097289,15157.8,379.9360730972894,2.506538370326099
DEBW_52210003uZg,DEBW_52210003uZg,8747.520802712,9506.3,-758.7791972879986,-7.981856214173745
DEBW_52210003udj,DEBW_52210003udj,4402.892122744743,4664.599999999999,-261.7078772552568,-5.6105105958765344
