rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210003qpi,DEBW_52210003qpi,38759.89931942415,43098.7,-4338.800680575849,-10.067126573599317
DEBW_52210003qta,DEBW_52210003qta,20156.41768693243,22603.600000000002,-2447.182313067573,-10.82651574557846
DEBW_52210003qwF,DEBW_52210003qwF,21972.767380885824,25258.100000000002,-3285.3326191141787,-13.007045736275405
DEBW_52210003rFb,DEBW_52210003rFb,30545.454985530014,37567.5,-7022.045014469986,-18.69180811730881
DEBW_52210003rIo,DEBW_52210003rIo,15394.221744789167,18305.2,-2910.9782552108336,-15.902466267567869
DEBW_52210003rgE,DEBW_52210003rgE,12477.2301230067,13601.7,-1124.4698769933002,-8.267127469311191
DEBW_52210003sTZ,DEBW_52210003sTZ,20613.470905341732,23516.6,-2903.1290946582667,-12.345020515968578
DEBW_52210003sUv,DEBW_52210003sUv,10107.20764859685,13020.6,-2913.3923514031503,-22.375254223331876
DEBW_52210003snr,DEBW_52210003snr,25192.29311710088,27931.0,-2738.7068828991214,-9.805258969958546
DEBW_52210003t47,DEBW_52210003t47,9872.779409347417,9711.3,161.47940934741746,1.6627991035949612
DEBW_52210003t7f,DEBW_52210003t7f,22783.393331504907,27654.6,-4871.206668495091,-17.614453539357257
DEBW_52210003tNq,DEBW_52210003tNq,25088.05450880745,27782.499999999996,-2694.445491192546,-9.698355047935017
DEBW_52210003tQY,DEBW_52210003tQY,28955.35366297998,37690.4,-8735.046337020023,-23.175785709411475
DEBW_52210003u4h,DEBW_52210003u4h,17006.88031694662,19068.5,-2061.619683053381,-10.81165106355183
DEBW_52210003uBM,DEBW_52210003uBM,44612.93676136715,49391.5,-4778.563238632851,-9.674869640794165
DEBW_52210003uZg,DEBW_52210003uZg,28194.066183637486,31276.8,-3082.7338163625136,-9.856295453379225
DEBW_52210003udj,DEBW_52210003udj,15176.953699077707,15746.099999999999,-569.1463009222916,-3.6145223320205746
DEBW_52210003uss,DEBW_52210003uss,27952.307567429136,34508.9,-6556.592432570866,-18.999714370990862
DEBW_52210003uzO,DEBW_52210003uzO,32511.365692922842,38909.0,-6397.634307077158,-16.4425564961247
DEBW_52210003v4C,DEBW_52210003v4C,19090.95954284381,21835.4,-2744.44045715619,-12.568766577008846
DEBW_52210003vBM,DEBW_52210003vBM,32701.12894825478,37984.799999999996,-5283.671051745216,-13.90996148918835
DEBW_52210003xIr,DEBW_52210003xIr,16525.26686455771,19480.7,-2955.43313544229,-15.171082843236075
DEBW_52210003xN2,DEBW_52210003xN2,31509.20057292336,33919.9,-2410.699427076641,-7.107035772737068
DEBW_52210003xXe,DEBW_52210003xXe,46959.0049949778,59913.3,-12954.295005022206,-21.621735082230835
DEBW_52210004EqD,DEBW_52210004EqD,27381.33896939743,29712.0,-2330.6610306025686,-7.844174174079728
DEBW_52210004FOx,DEBW_52210004FOx,20280.1822267628,24485.600000000002,-4205.417773237201,-17.17506523522887
DEBW_52210004FT7,DEBW_52210004FT7,30617.191555612997,38669.6,-8052.4084443870015,-20.8236145302434
DEBW_52210004Faf,DEBW_52210004Faf,23062.24594933247,24238.0,-1175.7540506675286,-4.850870742914138
DEBW_52210004Fca,DEBW_52210004Fca,9596.265752666763,10275.599999999999,-679.3342473332359,-6.611139469551521
DEBW_52210004FnA,DEBW_52210004FnA,20482.344537111498,22550.1,-2067.755462888501,-9.169606622092589
DEBW_52210004G6k,DEBW_52210004G6k,27385.61402279153,34103.7,-6718.085977208466,-19.698994470419535
DEBW_52210004GDQ,DEBW_52210004GDQ,26635.819250146727,32585.2,-5949.380749853273,-18.257923075056386
DEBW_52210004GPg,DEBW_52210004GPg,24792.31588763657,29728.199999999997,-4935.8841123634265,-16.60337360608253
DEBW_52210004Gqv,DEBW_52210004Gqv,18161.298109566662,18086.800000000003,74.49810956665897,0.41189215099773846
DEBW_52210004H20,DEBW_52210004H20,72933.28487014174,86456.40000000001,-13523.11512985827,-15.641543170729141
DEBW_52210004HIN,DEBW_52210004HIN,23725.345681009945,24220.4,-495.05431899005634,-2.043955999859855
DEBW_52210004HiD,DEBW_52210004HiD,32230.8059162668,38481.200000000004,-6250.394083733205,-16.24272133855806
DEBW_52210004Hls,DEBW_52210004Hls,22970.605597618523,25079.0,-2108.3944023814765,-8.407011453333373
DEBW_52210004HpC,DEBW_52210004HpC,26503.127362140596,29230.0,-2726.8726378594038,-9.329020314264124
DEBW_52210004HrR,DEBW_52210004HrR,35715.52677723896,43626.700000000004,-7911.173222761041,-18.13378784726106
DEBW_52210004HxR,DEBW_52210004HxR,20984.38560522847,23789.8,-2805.414394771531,-11.792509372804863
DEBW_52210004Hxc,DEBW_52210004Hxc,27887.67171244806,32314.299999999996,-4426.6282875519355,-13.698666805568854
DEBW_52210004I04,DEBW_52210004I04,31045.3666668983,36974.5,-5929.133333101701,-16.035736340184993
DEBW_52210004IZi,DEBW_52210004IZi,16412.735519836333,17032.6,-619.8644801636656,-3.639282788086761
DEBW_52210004Ihn,DEBW_52210004Ihn,44203.69433495438,49722.7,-5519.005665045617,-11.099569542775468
DEBW_52210004IuQ,DEBW_52210004IuQ,25127.753816770317,29523.800000000003,-4396.046183229686,-14.889838649596888
DEBW_52210004KwN,DEBW_52210004KwN,20906.721022802078,22513.399999999998,-1606.6789771979202,-7.136545245044819
DEBW_52210004L5J,DEBW_52210004L5J,39518.117555756326,47243.299999999996,-7725.18244424367,-16.351911158288416
DEBW_52210004L7q,DEBW_52210004L7q,21421.220265570482,23425.5,-2004.2797344295177,-8.555974192352426
DEBW_52210004Lja,DEBW_52210004Lja,36772.487822253956,44603.5,-7831.0121777460445,-17.556945481287443
DEBW_52210004bgQ,DEBW_52210004bgQ,31574.86049141938,39120.7,-7545.839508580619,-19.28861065517902
DEBW_52210004cUQ,DEBW_52210004cUQ,24813.570162781027,26058.4,-1244.8298372189747,-4.77707701631326
DEBW_52210004caM,DEBW_52210004caM,46804.37003800823,58359.0,-11554.62996199177,-19.79922541851603
DEBW_52210004d3g,DEBW_52210004d3g,24190.716275610022,28608.6,-4417.883724389976,-15.44250233982081
DEBW_52210004dF4,DEBW_52210004dF4,13056.317003478813,15498.1,-2441.7829965211877,-15.755369990651676
DEBW_52210004dGw,DEBW_52210004dGw,27500.20418018513,33644.1,-6143.895819814868,-18.261436090770356
DEBW_52210004dNl,DEBW_52210004dNl,27097.641686052455,31064.800000000003,-3967.158313947548,-12.77059023057463
DEBW_52210004dQ2,DEBW_52210004dQ2,16916.997231103982,20805.800000000003,-3888.802768896021,-18.690955257168774
DEBW_52210004dQC,DEBW_52210004dQC,57199.584039668145,67808.1,-10608.51596033186,-15.644909620431571
DEBW_52210004dvl,DEBW_52210004dvl,38009.11262519148,42672.399999999994,-4663.287374808511,-10.928111319748858
DEBW_52210004e9F,DEBW_52210004e9F,41336.78125492979,46261.8,-4925.018745070214,-10.645973016765915
DEBW_52210004eFK,DEBW_52210004eFK,58207.82911006469,67848.20000000001,-9640.370889935322,-14.208734925812802
