rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210003qpi,DEBW_52210003qpi,exact,4297.389238632841,12517.0,-8219.61076136716,-65.66757818460621,8760,0.8389833807086937,1.4486956485886602,-0.046796531739277676,0.9671909640814209,42996.46238196393,43406.399999999994,-409.9376180360632,-0.9444174546519943
DEBW_52210003qta,DEBW_52210003qta,exact,2619.789087688251,6593.0,-3973.210912311749,-60.264081788438475,8760,0.47880917814990076,0.8241462975439976,-0.03963942100587475,0.9614472565984554,22458.558671988536,22805.8,-347.24132801146334,-1.5226009524395696
DEBW_52210003qwF,DEBW_52210003qwF,exact,2825.7959665077615,6592.0,-3766.2040334922385,-57.13294953720022,8760,0.5177745062164244,0.874413319264391,-0.11731301752677915,0.9643739116454524,24435.537966465417,25463.2,-1027.6620335345833,-4.035871506859245
DEBW_52210003rFb,DEBW_52210003rFb,exact,3759.6190002964954,9990.0,-6230.380999703504,-62.36617617320825,8760,0.7972311521939229,1.26236216791423,-0.45895406737271455,0.969932530792467,33842.462369815024,37862.899999999994,-4020.4376301849697,-10.618409129213479
DEBW_52210003rIo,DEBW_52210003rIo,exact,3282.605510501302,6764.0,-3481.394489498698,-51.46946318005171,8760,0.44235682928975295,0.7489496015216456,-0.13018557624908397,0.9525873917306698,17312.674352058028,18453.1,-1140.425647941971,-6.180130427635308
DEBW_52210003rgE,DEBW_52210003rgE,exact,1403.1938757051619,3545.0,-2141.806124294838,-60.41766218039035,8760,0.2849581378222504,0.5000014303694873,0.02305498703874013,0.9618852771425145,13907.861686459364,13705.900000000001,201.96168645936268,1.4735383043752155
DEBW_52210003sTZ,DEBW_52210003sTZ,exact,1986.846500660215,6008.0,-4021.153499339785,-66.92998500898443,8760,0.47167847939663626,0.7889803149997906,-0.08669083467112915,0.9660045891700714,22930.08828828091,23689.5,-759.4117117190908,-3.205689067811017
DEBW_52210003sUv,DEBW_52210003sUv,exact,2372.106810244056,4198.0,-1825.8931897559441,-43.49435897465327,8760,0.3376851477903382,0.5358759286257947,-0.21932220005028846,0.9576047756711306,11232.437527559474,13153.699999999999,-1921.262472440525,-14.606251263450778
DEBW_52210003snr,DEBW_52210003snr,exact,3211.930596079465,8964.0,-5752.0694039205355,-64.16855649175073,8760,0.6007101964342126,1.0427226191734214,-0.004236785908250269,0.9602112100275019,28105.485755443726,28142.600000000002,-37.11424455627639,-0.13187923132999932
DEBW_52210003t47,DEBW_52210003t47,exact,1132.7342385617658,2686.0,-1553.2657614382342,-57.82821152041081,8760,0.2753480096912993,0.47056381954467186,0.14210810173710917,0.9541141872411558,11038.066971217075,9793.199999999999,1244.8669712170758,12.711544451426255
DEBW_52210003t7f,DEBW_52210003t7f,exact,3137.2737654483835,7100.0,-3962.7262345516165,-55.813045557065024,8760,0.5914359542916691,0.9667012531373663,-0.30462731667618675,0.9655297010052429,25295.264705916605,27963.8,-2668.5352940833945,-9.542820697056174
DEBW_52210003tNq,DEBW_52210003tNq,exact,3313.3125334533584,9179.0,-5865.687466546642,-63.903338779242205,8760,0.604275234810625,1.052128860219965,0.011211744681879248,0.9592185222083678,28064.414883413265,27966.200000000004,98.2148834132604,0.3511913789262051
DEBW_52210003tQY,DEBW_52210003tQY,exact,4094.5995120302896,9655.0,-5560.40048796971,-57.59089060558996,8760,0.9292193150786934,1.4230767823107446,-0.6726451292228827,0.9679527652413042,32128.02866800755,38020.4,-5892.37133199245,-15.497920411127842
DEBW_52210003u4h,DEBW_52210003u4h,exact,2017.7288561003138,5543.0,-3525.271143899686,-63.59861345660628,8760,0.3826141561538314,0.6531369841858135,-0.0413853792020662,0.9653926988578021,18814.4640781899,19177.0,-362.53592181010026,-1.8904725546753938
DEBW_52210003uBM,DEBW_52210003uBM,exact,5322.329199082875,15246.0,-9923.670800917125,-65.09032402543045,8760,0.9929839681895763,1.7232679623510445,-0.024898788948294476,0.964878116910434,49517.986608812935,49736.09999999999,-218.11339118705655,-0.43854140390391805
DEBW_52210003uZg,DEBW_52210003uZg,exact,3547.7406435940115,9648.0,-6100.259356405988,-63.22822716009523,8760,0.662967559346491,1.1471115204058073,-0.012333357631229306,0.9614031366253738,31408.959787150437,31517.000000000004,-108.04021284956616,-0.3427997996305681
DEBW_52210003udj,DEBW_52210003udj,exact,1593.371613757707,4643.0,-3049.628386242293,-65.682282710366,8760,0.3626103073542369,0.6449789148993145,0.12013643572643146,0.958619443069737,16938.29517696354,15885.900000000001,1052.3951769635387,6.62471233586727
DEBW_52210003uss,DEBW_52210003uss,exact,2088.695481150524,8085.0,-5996.304518849476,-74.16579491465029,8760,0.7522012829402689,1.1601539206292837,-0.45744920003141437,0.9718689762025366,30799.44500772481,34806.7,-4007.254992275186,-11.512883991516537
DEBW_52210003uzO,DEBW_52210003uzO,exact,4166.6601801703955,11133.0,-6966.3398198296045,-62.57378801607477,8760,0.839053789761256,1.3571957282816465,-0.3427888260503665,0.9651215567263162,36190.56988379879,39193.4,-3002.830116201214,-7.661570867036832
DEBW_52210003v4C,DEBW_52210003v4C,exact,2440.6397643772957,8243.0,-5802.360235622704,-70.39136522652801,8760,0.49824509934661804,0.8297512398251736,-0.08074170362316152,0.9583513209451872,21241.802676261104,21949.1,-707.2973237388942,-3.2224433974007782
DEBW_52210003vBM,DEBW_52210003vBM,exact,4101.141439268479,11741.0,-7639.858560731521,-65.06991364220698,8760,0.8164224252429045,1.355082549852396,-0.2050448232277479,0.9625384762123508,36469.307348524926,38265.5,-1796.192651475074,-4.694026346121373
DEBW_52210003xIr,DEBW_52210003xIr,exact,3723.1650210193984,7359.0,-3635.8349789806016,-49.406644638953686,8760,0.4703167451704584,0.8029382333994779,-0.11969597625392205,0.9521293992648411,18557.963248015643,19606.5,-1048.5367519843567,-5.347903766528226
