rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210003qpi,DEBW_52210003qpi,exact,3799.100309942829,13032.0,-9232.899690057171,-70.84791045163576,8760,2.143444968851266,3.76462767978548,-0.49529688134427474,0.8185537375991011,38759.89931942415,43098.7,-4338.800680575849,-10.067126573599317
DEBW_52210003qta,DEBW_52210003qta,exact,2202.0044922433344,6876.0,-4673.995507756666,-67.97550185800851,8760,1.0396598093237672,1.8382040475563743,-0.27935871153739394,0.8369952658176272,20156.41768693243,22603.600000000002,-2447.182313067573,-10.82651574557846
DEBW_52210003qwF,DEBW_52210003qwF,exact,2415.2809912807006,6822.0,-4406.719008719299,-64.59570519963793,8760,1.1605039596119149,2.0773800106363725,-0.37503797021851326,0.8303072708464161,21972.767380885824,25258.100000000002,-3285.3326191141787,-13.007045736275405
DEBW_52210003rFb,DEBW_52210003rFb,exact,3443.4927281890223,10401.0,-6957.507271810978,-66.892676394683,8760,1.7140248322948288,3.204339862557041,-0.8016033121541078,0.8120116926823968,30545.454985530014,37567.5,-7022.045014469986,-18.69180811730881
DEBW_52210003rIo,DEBW_52210003rIo,exact,2834.9930415554973,7020.0,-4185.006958444503,-59.615483738525676,8760,0.7689269105509932,1.3897040505305216,-0.332303453791191,0.8546230539127625,15394.221744789167,18305.2,-2910.9782552108336,-15.902466267567869
DEBW_52210003rgE,DEBW_52210003rgE,exact,1127.4568770279523,3676.0,-2548.543122972048,-69.32924708846703,8760,0.6128803311989084,1.0710512562409986,-0.12836414120928077,0.8472034252228253,12477.2301230067,13601.7,-1124.4698769933002,-8.267127469311191
DEBW_52210003sTZ,DEBW_52210003sTZ,exact,1625.8471337676367,6250.0,-4624.1528662323635,-73.98644585971782,8760,1.034824727329732,1.8517928792185816,-0.3314074308970631,0.8393708896487962,20613.470905341732,23516.6,-2903.1290946582667,-12.345020515968578
DEBW_52210003sUv,DEBW_52210003sUv,exact,2160.8574930888863,4367.0,-2206.1425069111137,-50.51849111314664,8760,0.5966595771259511,1.1203736298801805,-0.33257903554830476,0.8136078394879731,10107.20764859685,13020.6,-2913.3923514031503,-22.375254223331876
DEBW_52210003snr,DEBW_52210003snr,exact,2679.617642538219,9333.0,-6653.382357461781,-71.28878557228951,8760,1.2669783296400683,2.2306858154129197,-0.3126377720204476,0.8429711572274731,25192.29311710088,27931.0,-2738.7068828991214,-9.805258969958546
DEBW_52210003t47,DEBW_52210003t47,exact,842.2747874744766,2790.0,-1947.7252125255234,-69.81093951704385,8760,0.4578616459805054,0.7742738763298939,0.01843372252824401,0.8641156807826719,9872.779409347417,9711.3,161.47940934741746,1.6627991035949612
DEBW_52210003t7f,DEBW_52210003t7f,exact,2762.9960395975454,7491.0,-4728.003960402455,-63.11579175547264,8760,1.2502323450303603,2.301835954167398,-0.5560738206044624,0.8216213186879593,22783.393331504907,27654.6,-4871.206668495091,-17.614453539357257
DEBW_52210003tNq,DEBW_52210003tNq,exact,2751.301400042154,9537.0,-6785.698599957846,-71.15129076185222,8760,1.199947254852365,2.1162253548358287,-0.30758510173430936,0.8546955916283514,25088.05450880745,27782.499999999996,-2694.445491192546,-9.698355047935017
DEBW_52210003tQY,DEBW_52210003tQY,exact,3712.752046123401,10101.0,-6388.247953876598,-63.24371798709632,8760,1.6490900362597967,3.1375145419202712,-0.9971514083356189,0.8162612895620817,28955.35366297998,37690.4,-8735.046337020023,-23.175785709411475
DEBW_52210003u4h,DEBW_52210003u4h,exact,1787.7411517705798,5773.0,-3985.2588482294204,-69.03271865978556,8760,0.953923911338443,1.701259960725365,-0.23534471267732662,0.8111586558351555,17006.88031694662,19068.5,-2061.619683053381,-10.81165106355183
DEBW_52210003uBM,DEBW_52210003uBM,exact,4639.449700687968,15878.0,-11238.550299312032,-70.78064176415185,8760,2.4252356878024295,4.2658963788507895,-0.5454980866019244,0.822316984395041,44612.93676136715,49391.5,-4778.563238632851,-9.674869640794165
DEBW_52210003uZg,DEBW_52210003uZg,exact,2988.149530252325,10025.0,-7036.850469747675,-70.19302214212144,8760,1.454537649902374,2.5598500938536266,-0.35191025300941936,0.8364552663096766,28194.066183637486,31276.8,-3082.7338163625136,-9.856295453379225
DEBW_52210003udj,DEBW_52210003udj,exact,1234.1171793374128,4832.0,-3597.882820662587,-74.45949546073236,8760,0.718408093454379,1.2293947107329362,-0.06497103891807009,0.8567032780010853,15176.953699077707,15746.099999999999,-569.1463009222916,-3.6145223320205746
DEBW_52210003uss,DEBW_52210003uss,exact,1804.205164676046,8492.0,-6687.7948353239535,-78.75406070800699,8760,1.5730106338823275,2.9605442052161006,-0.7484694557729299,0.8046416450701761,27952.307567429136,34508.9,-6556.592432570866,-18.999714370990862
